timestamp,area_id,leader_id,group_members,group_size,group_confidence,area_quality,confidence_weighted_quality,gt_count,pred_count,member_count_check
000070,14_9,7,7,1,0.950103,1.000000,0.950103,1.000000,1.000000,1
000070,12_11,20,16;20,2,0.975956,1.000000,0.975956,1.000000,1.000000,2
000070,15_6,4,4,1,0.911253,1.000000,0.911253,1.000000,1.000000,1
000070,12_5,10,10,1,0.903504,1.000000,0.903504,1.000000,1.000000,1
000070,11_5,10,10;9,2,0.979251,1.000000,0.979251,1.000000,1.000000,2
000070,13_9,20,20;7,2,0.975449,1.000000,0.975449,1.000000,1.000000,2
000070,16_8,12,12;4,2,0.971787,1.000000,0.971787,1.000000,1.000000,2
000070,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000070,15_9,7,7,1,0.843480,1.000000,0.843480,1.000000,1.000000,1
000070,11_8,19,9;19,2,0.956913,1.000000,0.956913,1.000000,1.000000,2
000070,17_7,12,12,1,0.836344,1.000000,0.836344,1.000000,1.000000,1
000070,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000070,11_4,10,10,1,0.824778,1.000000,0.824778,1.000000,1.000000,1
000070,12_7,10,10,1,0.802225,1.000000,0.802225,1.000000,1.000000,1
000070,15_8,4,4;7,2,0.958070,1.000000,0.958070,1.000000,1.000000,2
000070,16_5,4,4;12,2,0.966422,0.000000,0.000000,1.000000,0.000000,2
000070,16_4,12,4;12,2,0.927213,0.000000,0.000000,1.000000,0.000000,2
000070,15_5,4,4,1,0.841147,0.000000,0.000000,0.000000,1.000000,1
000070,6_13,14,14,1,0.952634,0.000000,0.000000,0.000000,0.000000,1
000070,10_6,19,19,1,0.946466,0.000000,0.000000,0.000000,0.000000,1
000070,9_6,13,13,1,0.909049,0.000000,0.000000,0.000000,0.000000,1
000070,16_6,12,12;4,2,0.989456,0.000000,0.000000,0.000000,0.000000,2
000070,12_10,16,16;20,2,0.989390,0.000000,0.000000,0.000000,0.000000,2
000070,6_12,14,14,1,0.898989,0.000000,0.000000,0.000000,0.000000,1
000070,11_6,9,9;10,2,0.987179,0.000000,0.000000,0.000000,0.000000,2
