scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000062,3,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,3,3;16;18,16;18,"{""16"": 1, ""18"": 3}","{""3"": 14164, ""16"": 3616, ""18"": 10729}",229520,12.765294771968856,10,40.0,60.0,,,,,,,1,1,"{""3"": 14164}",,2,ns3,899,0.5,10,12,28,,,[],[],,16;18,21,47,
2026_07_29_02_32_08,000062,4,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,4,4,,{},"{""4"": 13826}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,18,34,
2026_07_29_02_32_08,000062,5,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,5,5,,{},"{""5"": 13942}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,18,38,
2026_07_29_02_32_08,000062,6,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,6,6,,{},"{""6"": 13002}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,12,13,
2026_07_29_02_32_08,000062,7,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,7,7,,{},"{""7"": 13932}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,24,38,
2026_07_29_02_32_08,000062,8,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,8,8,,{},"{""8"": 13742}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,22,43,
2026_07_29_02_32_08,000062,9,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,9,9,,{},"{""9"": 13818}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,17,35,
2026_07_29_02_32_08,000062,10,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,10,10;8,8,"{""8"": 4}","{""8"": 10411, ""10"": 14074}",166576,9.264516129032257,10,40.0,60.0,,,,,,,1,1,"{""10"": 14074}",,2,ns3,899,0.5,10,12,28,,,[],[],,8,22,49,
2026_07_29_02_32_08,000062,11,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,11,11;9,9,"{""9"": 2}","{""9"": 6806, ""11"": 13869}",108896,6.05650723025584,10,40.0,60.0,,,,,,,1,1,"{""11"": 13869}",,2,ns3,899,0.5,10,12,28,,,[],[],,9,22,54,
2026_07_29_02_32_08,000062,12,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,12,12;4;7,4;7,"{""4"": 1, ""7"": 2}","{""4"": 2638, ""7"": 7176, ""12"": 13882}",157024,8.73325917686318,10,40.0,60.0,,,,,,,1,1,"{""12"": 13882}",,2,ns3,899,0.5,10,12,28,,,[],[],,4;7,20,47,
2026_07_29_02_32_08,000062,13,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,13,13,,{},"{""13"": 13569}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,12,25,
2026_07_29_02_32_08,000062,14,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,14,14,,{},"{""14"": 14313}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,3,6,
2026_07_29_02_32_08,000062,15,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,15,15;6,6,"{""6"": 3}","{""6"": 7141, ""15"": 13488}",114256,6.354616240266963,10,40.0,60.0,,,,,,,1,1,"{""15"": 13488}",,2,ns3,899,0.5,10,12,28,,,[],[],,6,16,21,
2026_07_29_02_32_08,000062,16,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,16,16,,{},"{""16"": 13788}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,23,37,
2026_07_29_02_32_08,000062,17,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,17,17,,{},"{""17"": 14128}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,21,28,
2026_07_29_02_32_08,000062,18,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,18,18,,{},"{""18"": 14261}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,16,17,
2026_07_29_02_32_08,000062,19,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,19,19;5;13,5;13,"{""5"": 2, ""13"": 1}","{""5"": 9809, ""13"": 2711, ""19"": 13710}",200320,11.1412680756396,10,40.0,60.0,,,,,,,1,1,"{""19"": 13710}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;13,14,38,
2026_07_29_02_32_08,000062,20,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078800,11189744,10,10,20,20,,{},"{""20"": 13916}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,24,34,
2026_07_29_02_32_08,000064,1,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,1,1;2,2,"{""2"": 2}","{""1"": 13948, ""2"": 6390}",102240,5.686318131256953,10,40.0,60.0,,,,,,,1,1,"{""1"": 13948}",,2,ns3,899,0.5,10,12,28,,,[],[],,2,22,44,
2026_07_29_02_32_08,000064,2,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,2,2,,{},"{""2"": 13829}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,21,38,
2026_07_29_02_32_08,000064,3,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,3,3;16;18,16;18,"{""16"": 1, ""18"": 5}","{""3"": 14159, ""16"": 3492, ""18"": 11158}",234400,13.03670745272525,10,40.0,60.0,,,,,,,1,1,"{""3"": 14159}",,2,ns3,899,0.5,10,12,28,,,[],[],,16;18,19,48,
2026_07_29_02_32_08,000064,4,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,4,4,,{},"{""4"": 13808}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,19,36,
2026_07_29_02_32_08,000064,5,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,5,5,,{},"{""5"": 13941}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,18,38,
2026_07_29_02_32_08,000064,6,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,6,6,,{},"{""6"": 13022}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,12,13,
2026_07_29_02_32_08,000064,7,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,7,7,,{},"{""7"": 13939}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,24,36,
2026_07_29_02_32_08,000064,8,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,8,8,,{},"{""8"": 13743}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,23,43,
2026_07_29_02_32_08,000064,9,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,9,9,,{},"{""9"": 13818}",0,0.0,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,19,35,
2026_07_29_02_32_08,000064,10,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,singleton,20,60.0,1078800,1078768,11186720,10,10,10,10;8,8,"{""8"": 3}","{""8"": 10716, ""10"": 14075}",171456,9.535928809788654,10,40.0,60.0,,,,,,,1,1,"{""10"": 14075}",,2,ns3,899,0.5,10,12,28,,,[],[],,8,23,50,
