scenario_id,timestamp,cav_count,grid_count,point_count,nonzero_grid_ratio,default_high_density_ratio,density_mean,density_p50,density_p75,density_p90,density_p95,density_p99,density_max,nonzero_density_mean,nonzero_density_p50,nonzero_density_p75,nonzero_density_p90,nonzero_density_p95,nonzero_density_p99
2026_07_15_01_26_56,000100,20,19220,97643,0.05926118626430801,0.004474505723204995,0.05080280957336107,0.0,0.0,0.0,0.03,0.84,34.38,0.8572695346795434,0.13,0.455,1.46,3.3099999999999907,13.698199999999824
2026_07_15_01_26_56,000102,20,19220,97717,0.05983350676378772,0.004422476586888657,0.050841311134235165,0.0,0.0,0.0,0.03,0.85,34.35,0.8497130434782609,0.13,0.45,1.45,3.481499999999985,13.574999999999987
2026_07_15_01_26_56,000104,20,19220,97630,0.06030176899063475,0.004318418314255983,0.05079604578563996,0.0,0.0,0.0,0.03,0.8781000000000131,34.34,0.8423641069887834,0.13,0.455,1.4020000000000004,3.3289999999999735,13.798800000000046
2026_07_15_01_26_56,000106,20,19220,97653,0.060457856399583766,0.004214360041623309,0.05080801248699272,0.0,0.0,0.0,0.03,0.87,34.32,0.8403872633390705,0.13,0.44,1.389000000000001,3.4330000000000065,13.497800000000002
2026_07_15_01_26_56,000108,20,19220,97677,0.06082206035379813,0.004214360041623309,0.05082049947970864,0.0,0.0,0.0,0.03,0.8681000000000131,33.76,0.8355603079555175,0.13,0.45,1.34,3.2719999999999936,12.879599999999998
2026_07_15_01_26_56,000110,20,19220,97703,0.06061394380853278,0.004214360041623309,0.05083402705515089,0.0,0.0,0.0,0.03,0.8681000000000131,33.71,0.8386523605150215,0.13,0.45,1.3660000000000014,3.721999999999998,12.392799999999951
2026_07_15_01_26_56,000112,20,19220,97564,0.06030176899063475,0.004162330905306972,0.05076170655567118,0.0,0.0,0.0,0.03,0.8781000000000131,33.95,0.8417946505608283,0.13,0.44,1.33,3.739999999999991,12.343800000000028
2026_07_15_01_26_56,000114,20,19220,97642,0.06082206035379813,0.004058272632674297,0.050802289281997925,0.0,0.0,0.0,0.03,0.86,34.05,0.8352609067579128,0.13,0.45,1.294000000000001,3.721999999999998,12.280799999999989
2026_07_15_01_26_56,000116,20,19220,97695,0.06097814776274714,0.004058272632674297,0.05082986472424557,0.0,0.0,0.0,0.03,0.8481000000000131,34.12,0.8335750853242321,0.13,0.45,1.3280000000000018,3.818500000000006,12.265799999999999
2026_07_15_01_26_56,000118,20,19220,97753,0.06118626430801249,0.004214360041623309,0.05086004162330905,0.0,0.0,0.0,0.03,0.83,34.19,0.8312329931972788,0.13,0.45,1.32,3.7675,12.015
2026_07_15_01_26_56,000120,20,19220,97730,0.060926118626430804,0.004318418314255983,0.050848074921956296,0.0,0.0,0.0,0.03,0.83,34.21,0.8345858240819811,0.13,0.45,1.36,3.745,11.919999999999991
2026_07_15_01_26_56,000122,20,19220,97732,0.06061394380853278,0.004318418314255983,0.05084911550468263,0.0,0.0,0.0,0.03,0.82,34.22,0.8389012875536481,0.13,0.44,1.33,3.645999999999999,12.026799999999962
2026_07_15_01_26_56,000124,20,19220,97683,0.06019771071800208,0.004318418314255983,0.05082362122788761,0.0,0.0,0.0,0.03,0.828100000000013,34.19,0.8442783059636992,0.13,0.44,1.378000000000002,3.636000000000008,12.188000000000011
2026_07_15_01_26_56,000126,20,19220,97667,0.06024973985431842,0.004422476586888657,0.05081529656607701,0.0,0.0,0.0,0.03,0.83,34.17,0.8434110535405873,0.14,0.45,1.3929999999999993,3.3429999999999973,12.423300000000019
2026_07_15_01_26_56,000128,20,19220,97689,0.05983350676378772,0.004422476586888657,0.050826742976066604,0.0,0.0,0.0,0.03,0.828100000000013,34.16,0.8494695652173911,0.14,0.4575,1.4,3.3054999999999994,12.381799999999998
2026_07_15_01_26_56,000130,20,19220,97662,0.059729448491155045,0.004422476586888657,0.05081269510926118,0.0,0.0,0.0,0.03,0.818100000000013,34.14,0.8507142857142858,0.14,0.46,1.4029999999999994,3.3654999999999906,12.191299999999995
2026_07_15_01_26_56,000132,20,19220,97679,0.059989594172736735,0.00437044745057232,0.05082154006243496,0.0,0.0,0.0,0.03,0.8,34.14,0.847172593235039,0.14,0.46,1.3879999999999995,3.335999999999988,12.082000000000008
2026_07_15_01_26_56,000134,20,19220,97647,0.05983350676378772,0.004318418314255983,0.05080489073881374,0.0,0.0,0.0,0.03,0.8081000000000131,34.12,0.8491043478260868,0.14,0.47,1.4220000000000026,3.371499999999994,12.315499999999998
2026_07_15_01_26_56,000136,20,19220,97700,0.060093652445369405,0.004474505723204995,0.050832466181061395,0.0,0.0,0.0,0.03,0.8081000000000131,33.71,0.8458874458874459,0.13,0.47,1.4,3.707999999999997,12.674400000000006
2026_07_15_01_26_56,000138,20,19220,97644,0.06014568158168574,0.004318418314255983,0.05080332986472425,0.0,0.0,0.0,0.03,0.8,33.73,0.8446712802768166,0.14,0.46,1.3849999999999998,3.395,12.39350000000001
2026_07_15_01_26_56,000140,20,19220,97676,0.059989594172736735,0.004214360041623309,0.05081997918834547,0.0,0.0,0.0,0.03,0.81,33.95,0.8471465741543799,0.14,0.47,1.4079999999999995,3.287999999999997,12.347600000000002
