rho_bin_left,rho_bin_right,rho_mid,grid_count,grid_ratio,f_rho_sigmoid_th_0.5,f_rho_sigmoid_th_1,f_rho_sigmoid_th_2,f_rho_sigmoid_th_3,f_rho_sigmoid_th_4
23.500000,23.750000,23.625000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
23.750000,24.000000,23.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24.000000,24.250000,24.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24.250000,24.500000,24.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24.500000,24.750000,24.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24.750000,25.000000,24.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25.000000,25.250000,25.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25.250000,25.500000,25.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25.500000,25.750000,25.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25.750000,26.000000,25.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26.000000,26.250000,26.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26.250000,26.500000,26.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26.500000,26.750000,26.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26.750000,27.000000,26.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27.000000,27.250000,27.125000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
27.250000,27.500000,27.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27.500000,27.750000,27.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27.750000,28.000000,27.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28.000000,28.250000,28.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28.250000,28.500000,28.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28.500000,28.750000,28.625000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
28.750000,29.000000,28.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29.000000,29.250000,29.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29.250000,29.500000,29.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29.500000,29.750000,29.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29.750000,30.000000,29.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30.000000,30.250000,30.125000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
30.250000,30.500000,30.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30.500000,30.750000,30.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30.750000,31.000000,30.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
31.000000,31.250000,31.125000,3,0.000004,1.000000,1.000000,1.000000,1.000000,1.000000
31.250000,31.500000,31.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
31.500000,31.750000,31.625000,26,0.000033,1.000000,1.000000,1.000000,1.000000,1.000000
