line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
2456,1,PHY,PSSCH_DECODE_FAIL,111,3,14,1945,,,,6,0.796361,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=111 txRnti=3 sender_l2_id=3 receiver_l2_id=14 harq_id=6 tb_size=1945 tbler=1 sinr=0.796361 sinrMin=0.512007 reason=decode_fail,000062,12_7,member_to_leader,111,111,1
2457,1,HARQ,HARQ_NACK,111,3,14,,,,,6,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=111 txRnti=3 sender_l2_id=3 receiver_l2_id=14 rxRnti=14 harq_id=6 bwp_id=0,000062,12_7,member_to_leader,111,111,1
2502,1,PHY,PSSCH_DECODE_OK,109,16,5,4069,,,,8,187079,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=109 txRnti=16 sender_l2_id=16 receiver_l2_id=5 harq_id=8 tb_size=4069 tbler=0 sinr=187079 sinrMin=147228 reason=,000062,16_4,member_to_leader,109,109,1
2503,1,HARQ,HARQ_ACK,109,16,5,,,,,8,,,,[NRSL_HARQ_EVENT] event=HARQ_ACK request_ids=109 txRnti=16 sender_l2_id=16 receiver_l2_id=5 rxRnti=5 harq_id=8 bwp_id=0,000062,16_4,member_to_leader,109,109,1
2610,1,PHY,PSSCH_DECODE_FAIL,104,5,1,4069,,,,7,0.514277,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=104 txRnti=5 sender_l2_id=5 receiver_l2_id=1 harq_id=7 tb_size=4069 tbler=1 sinr=0.514277 sinrMin=0.0395632 reason=sci2_decode_fail,000062,17_7,leader_to_rsu,104,104,1
2612,1,PHY,PSSCH_DECODE_FAIL,114,12,1,2083,,,,1,0.512852,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=114 txRnti=12 sender_l2_id=12 receiver_l2_id=1 harq_id=1 tb_size=2083 tbler=1 sinr=0.512852 sinrMin=0.0964143 reason=sci2_decode_fail,000062,10_6,leader_to_rsu,114,114,1
2614,1,PHY,PSSCH_DECODE_FAIL,91,21,3,1945,,,,6,16.1533,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=91 txRnti=21 sender_l2_id=21 receiver_l2_id=3 harq_id=6 tb_size=1945 tbler=1 sinr=16.1533 sinrMin=15.1798 reason=decode_fail,000062,11_5,member_to_leader,91,91,1
2615,1,HARQ,HARQ_NACK,91,21,3,,,,,6,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=91 txRnti=21 sender_l2_id=21 receiver_l2_id=3 rxRnti=3 harq_id=6 bwp_id=0,000062,11_5,member_to_leader,91,91,1
2617,1,PHY,PSSCH_DECODE_FAIL,63,14,17,4069,,,,8,1502.59,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=63 txRnti=14 sender_l2_id=14 receiver_l2_id=17 harq_id=8 tb_size=4069 tbler=1 sinr=1502.59 sinrMin=0.425091 reason=decode_fail,000062,12_9,member_to_leader,63,63,1
2618,1,HARQ,HARQ_NACK,63,14,17,,,,,8,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=63 txRnti=14 sender_l2_id=14 receiver_l2_id=17 rxRnti=17 harq_id=8 bwp_id=0,000062,12_9,member_to_leader,63,63,1
2695,1,PHY,PSSCH_DECODE_FAIL,124,20,1,2083,,,,4,3.77403,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=124 txRnti=20 sender_l2_id=20 receiver_l2_id=1 harq_id=4 tb_size=2083 tbler=1 sinr=3.77403 sinrMin=0.377013 reason=decode_fail,000062,14_2,leader_to_rsu,124,124,1
2696,1,HARQ,HARQ_NACK,124,20,1,,,,,4,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=124 txRnti=20 sender_l2_id=20 receiver_l2_id=1 rxRnti=1 harq_id=4 bwp_id=0,000062,14_2,leader_to_rsu,124,124,1
2699,1,PHY,PSSCH_DECODE_FAIL,65,13,4,1945,,,,3,12.7104,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=65 txRnti=13 sender_l2_id=13 receiver_l2_id=4 harq_id=3 tb_size=1945 tbler=1 sinr=12.7104 sinrMin=1.32608 reason=decode_fail,000062,13_2,member_to_leader,65,65,1
2700,1,HARQ,HARQ_NACK,65,13,4,,,,,3,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=65 txRnti=13 sender_l2_id=13 receiver_l2_id=4 rxRnti=4 harq_id=3 bwp_id=0,000062,13_2,member_to_leader,65,65,1
2763,1,PHY,PSSCH_DECODE_FAIL,92,3,1,4069,,,,7,1812.14,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=92 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=7 tb_size=4069 tbler=1 sinr=1812.14 sinrMin=4.23867 reason=decode_fail,000062,11_5,leader_to_rsu,92,92,1
2764,1,HARQ,HARQ_NACK,92,3,1,,,,,7,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=92 txRnti=3 sender_l2_id=3 receiver_l2_id=1 rxRnti=1 harq_id=7 bwp_id=0,000062,11_5,leader_to_rsu,92,92,1
2766,1,PHY,PSSCH_DECODE_FAIL,93,19,14,1945,,,,7,2.00247,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=93 txRnti=19 sender_l2_id=19 receiver_l2_id=14 harq_id=7 tb_size=1945 tbler=1 sinr=2.00247 sinrMin=1.57532 reason=decode_fail,000062,13_9,member_to_leader,93,93,1
2767,1,HARQ,HARQ_NACK,93,19,14,,,,,7,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=93 txRnti=19 sender_l2_id=19 receiver_l2_id=14 rxRnti=14 harq_id=7 bwp_id=0,000062,13_9,member_to_leader,93,93,1
