scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000118,18,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,18,18,,{},"{""18"": 4898}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,0,1,
2026_07_15_01_26_56,000118,19,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,19,19,,{},"{""19"": 4828}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,0,10,
2026_07_15_01_26_56,000118,20,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,20,20;19,19,"{""19"": 39}","{""19"": 4587, ""20"": 4899}",73392,4.08186874304783,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,19,5,24,
2026_07_15_01_26_56,000120,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1,,{},"{""1"": 4928}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,9,16,
2026_07_15_01_26_56,000120,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;15,15,"{""15"": 39}","{""2"": 4867, ""15"": 4713}",75408,4.1939933259176865,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,15,18,29,
2026_07_15_01_26_56,000120,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18,18,"{""18"": 39}","{""3"": 4986, ""18"": 4725}",75600,4.204671857619577,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,0,4,
2026_07_15_01_26_56,000120,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;12,12,"{""12"": 39}","{""4"": 4848, ""12"": 4729}",75664,4.208231368186874,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,9,33,
2026_07_15_01_26_56,000120,5,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,5,5,,{},"{""5"": 4901}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,2,9,
2026_07_15_01_26_56,000120,6,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,6,6,,{},"{""6"": 4711}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,9,15,
2026_07_15_01_26_56,000120,7,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,7,7;5,5,"{""5"": 39}","{""5"": 4691, ""7"": 4915}",75056,4.174416017797553,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,9,20,
2026_07_15_01_26_56,000120,8,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,8,8,,{},"{""8"": 4837}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,4,21,
2026_07_15_01_26_56,000120,9,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,9,9,,{},"{""9"": 4854}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,3,12,
2026_07_15_01_26_56,000120,10,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,10,10;8,8,"{""8"": 39}","{""8"": 4652, ""10"": 4927}",74432,4.139710789766407,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,16,35,
2026_07_15_01_26_56,000120,11,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,11,11;9,9,"{""9"": 39}","{""9"": 4818, ""11"": 4913}",77088,4.287430478309233,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,10,25,
2026_07_15_01_26_56,000120,12,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,12,12,,{},"{""12"": 5020}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,4,10,
2026_07_15_01_26_56,000120,13,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,13,13,,{},"{""13"": 4704}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,1,8,
