frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state,slot_index,stage,scheduled_delay_ms,sc_start,sc_num
1,000062,53,8,1,15_2,member_to_leader,2992,9,9,0,0,0,0,9,0,0,0,0,1,application_received,0,member_to_leader,10.000000,6,1
1,000062,54,1,8,14_3,member_to_leader,2816,9,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,7,1
1,000062,55,12,4,16_5,member_to_leader,2736,9,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,0,member_to_leader,10.000000,8,1
1,000062,56,7,20,13_9,member_to_leader,2320,8,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,0,member_to_leader,10.000000,9,1
1,000062,57,10,9,11_7,member_to_leader,2224,7,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,1,member_to_leader,20.000000,0,1
1,000062,58,7,4,15_8,member_to_leader,2000,7,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,1,1
1,000062,59,2,11,13_2,member_to_leader,1920,7,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,2,1
1,000062,60,12,4,17_5,member_to_leader,1536,5,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,3,1
1,000062,61,20,7,14_11,member_to_leader,784,4,2,0,0,0,0,2,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,4,1
1,000062,62,4,12,18_7,member_to_leader,208,0,0,0,0,0,0,0,0,0,0,0,0,planned_only,1,member_to_leader,20.000000,5,1
1,000062,63,10,21,11_4,leader_to_rsu,2000,6,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,0,1
1,000062,64,10,21,11_5,leader_to_rsu,2000,5,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,1,1
1,000062,65,9,21,11_7,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,2,1
1,000062,66,19,21,11_8,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,3,1
1,000062,67,16,21,12_10,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,4,1
1,000062,68,11,21,12_3,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,5,1
1,000062,69,10,21,12_4,leader_to_rsu,2000,5,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,6,1
1,000062,70,10,21,12_5,leader_to_rsu,2000,6,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,7,1
1,000062,71,5,21,12_9,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,8,1
1,000062,72,2,21,13_0,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,9,1
1,000062,73,11,21,13_2,leader_to_rsu,2000,5,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,3,leader_to_rsu,40.000000,0,1
1,000062,74,11,21,13_3,leader_to_rsu,2000,6,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only,3,leader_to_rsu,40.000000,1,1
1,000062,75,20,21,13_9,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,3,leader_to_rsu,40.000000,2,1
1,000062,76,1,21,14_1,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,3,1
1,000062,77,7,21,14_10,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,4,1
1,000062,78,7,21,14_11,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,5,1
1,000062,79,8,21,14_3,leader_to_rsu,2000,7,6,0,0,0,0,6,0,0,0,0,0,rlc_rx_only,3,leader_to_rsu,40.000000,6,1
1,000062,80,7,21,14_9,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,7,1
1,000062,81,1,21,15_2,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,8,1
1,000062,82,1,21,15_3,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,3,leader_to_rsu,40.000000,9,1
1,000062,83,8,21,15_4,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,0,1
1,000062,84,4,21,15_6,leader_to_rsu,2000,6,4,0,0,0,0,4,0,0,0,0,0,rlc_rx_only,4,leader_to_rsu,50.000000,1,1
1,000062,85,4,21,15_8,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,2,1
1,000062,86,7,21,15_9,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,3,1
1,000062,87,4,21,16_5,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,4,1
1,000062,88,12,21,16_7,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,5,1
1,000062,89,12,21,16_8,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,6,1
1,000062,90,4,21,17_5,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,7,1
1,000062,91,12,21,17_7,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,8,1
1,000062,92,12,21,18_7,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,9,1
2,000064,93,20,5,12_9,member_to_leader,13184,35,35,0,0,0,0,35,0,0,0,0,1,application_received,0,member_to_leader,10.000000,0,1
2,000064,94,9,19,11_8,member_to_leader,6320,18,14,0,0,0,0,14,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,1,1
2,000064,95,9,10,11_5,member_to_leader,3072,9,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,2,1
2,000064,96,8,1,15_2,member_to_leader,2992,9,8,0,0,0,0,8,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,3,1
2,000064,97,4,12,16_8,member_to_leader,2928,9,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,0,member_to_leader,10.000000,4,1
2,000064,98,12,4,16_5,member_to_leader,2768,9,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,0,member_to_leader,10.000000,5,1
2,000064,99,10,9,11_7,member_to_leader,2384,8,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,6,1
2,000064,100,7,4,15_8,member_to_leader,2192,7,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,7,1
2,000064,101,2,11,13_2,member_to_leader,2048,7,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,8,1
2,000064,102,10,20,12_7,member_to_leader,1808,6,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,0,member_to_leader,10.000000,9,1
2,000064,103,8,1,14_3,member_to_leader,1616,5,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,1,member_to_leader,20.000000,0,1
2,000064,104,1,8,15_3,member_to_leader,1520,6,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx,1,member_to_leader,20.000000,1,1
2,000064,105,4,12,17_5,member_to_leader,912,3,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,2,1
2,000064,106,20,7,14_11,member_to_leader,800,4,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,3,1
2,000064,107,12,4,18_7,member_to_leader,512,2,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only,1,member_to_leader,20.000000,4,1
2,000064,108,10,21,11_4,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,0,1
2,000064,109,10,21,11_5,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,1,1
2,000064,110,9,21,11_7,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,2,leader_to_rsu,30.000000,2,1
2,000064,111,19,21,11_8,leader_to_rsu,2000,7,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only,2,leader_to_rsu,30.000000,3,1
