timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio,sc_start,sc_num,schedule_status,schedule_reason
000076,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104,0,1,scheduled,single_slot_capacity
000076,11_6,10,9,member_to_leader,9312,10000,raw_lidar_slice,5114,582,0.113805,1,1,scheduled,single_slot_capacity
000076,16_8,12,4,member_to_leader,7888,10000,raw_lidar_slice,5236,493,0.094156,2,1,scheduled,single_slot_capacity
000076,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5101,395,0.077436,3,1,scheduled,single_slot_capacity
000076,15_3,8,1,member_to_leader,4112,10000,raw_lidar_slice,5126,257,0.050137,4,1,scheduled,single_slot_capacity
000076,11_7,10,9,member_to_leader,3408,10000,raw_lidar_slice,5114,213,0.041650,5,1,scheduled,single_slot_capacity
000076,11_5,9,10,member_to_leader,3104,10000,raw_lidar_slice,5101,194,0.038032,6,1,scheduled,single_slot_capacity
000076,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,7,1,scheduled,single_slot_capacity
000076,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,8,1,scheduled,single_slot_capacity
000076,11_6,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,,9,1,scheduled,single_slot_capacity
000078,12_9,20,5,member_to_leader,13248,10000,raw_lidar_slice,5180,828,0.159846,0,1,scheduled,single_slot_capacity
000078,16_7,12,4,member_to_leader,13008,10000,raw_lidar_slice,5234,813,0.155331,1,1,scheduled,single_slot_capacity
000078,11_6,10,9,member_to_leader,9504,10000,raw_lidar_slice,5102,594,0.116425,2,1,scheduled,single_slot_capacity
000078,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5099,395,0.077466,3,1,scheduled,single_slot_capacity
000078,14_0,1,2,member_to_leader,3808,10000,raw_lidar_slice,5124,238,0.046448,4,1,scheduled,single_slot_capacity
000078,11_7,10,9,member_to_leader,3632,10000,raw_lidar_slice,5102,227,0.044492,5,1,scheduled,single_slot_capacity
