line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
3424,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
3451,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
3478,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
3511,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
3556,PSSCH,OK,21,12,1,34,0,-nan,100000000000.0,,,,
3558,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
3591,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
3622,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
3667,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
3669,PSSCH,OK,5,16,1,66,0.0001,-nan,100000000000.0,,,,
3702,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
3729,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
3756,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
3783,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
3810,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
3837,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
3861,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
3888,PSSCH,OK,14,9,12,275,0,-nan,100000000000.0,,,,
3915,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
3942,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
3965,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
3988,PSSCH,OK,14,17,0,67,0.0001,-nan,100000000000.0,,,,
4017,PSSCH,OK,14,9,1,62,0.0001,-nan,100000000000.0,,,,
4051,PSSCH,OK,14,17,2,68,0.0001,-nan,100000000000.0,,,,
4255,PSSCH,OK,3,1,12,400,0,-nan,100000000000.0,,,,
4257,PSSCH,OK,21,1,2,400,0,-nan,100000000000.0,,,,
4259,PSSCH,OK,20,2,9,400,0,-nan,100000000000.0,,,,
4261,PSSCH,OK,16,5,0,400,0,-nan,100000000000.0,,,,
4263,PSSCH,OK,14,9,3,400,0,-nan,100000000000.0,,,,
4370,PSSCH,OK,3,1,13,400,0,-nan,100000000000.0,,,,
4372,PSSCH,OK,20,2,10,400,0,-nan,100000000000.0,,,,
4374,PSSCH,OK,16,5,1,400,0,-nan,100000000000.0,,,,
4376,PSSCH,OK,14,17,4,400,0,-nan,100000000000.0,,,,
4482,PSSCH,OK,3,1,14,400,0,-nan,100000000000.0,,,,
4484,PSSCH,OK,20,2,11,400,0,-nan,100000000000.0,,,,
4486,PSSCH,OK,16,5,2,400,0,-nan,100000000000.0,,,,
4488,PSSCH,OK,14,9,5,400,0,-nan,100000000000.0,,,,
4490,PSSCH,OK,21,12,4,400,0,-nan,100000000000.0,,,,
4597,PSSCH,OK,3,1,15,400,0,-nan,100000000000.0,,,,
4599,PSSCH,OK,21,1,5,400,0,-nan,100000000000.0,,,,
4601,PSSCH,OK,20,2,12,400,0,-nan,100000000000.0,,,,
4603,PSSCH,OK,16,5,3,400,0,-nan,100000000000.0,,,,
4605,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
4712,PSSCH,OK,3,1,0,400,0,-nan,100000000000.0,,,,
4714,PSSCH,OK,20,2,13,400,0,-nan,100000000000.0,,,,
4716,PSSCH,OK,16,5,4,400,0,-nan,100000000000.0,,,,
4718,PSSCH,OK,14,9,7,400,0,-nan,100000000000.0,,,,
4826,PSSCH,OK,3,1,1,400,0,-nan,100000000000.0,,,,
4828,PSSCH,OK,20,2,14,400,0,-nan,100000000000.0,,,,
4830,PSSCH,OK,16,5,5,400,0,-nan,100000000000.0,,,,
4832,PSSCH,OK,21,12,7,400,0,-nan,100000000000.0,,,,
4834,PSSCH,OK,14,17,8,400,0,-nan,100000000000.0,,,,
4946,PSSCH,OK,3,1,2,400,0,-nan,100000000000.0,,,,
4948,PSSCH,OK,21,1,8,400,0,-nan,100000000000.0,,,,
4950,PSSCH,OK,20,2,15,400,0,-nan,100000000000.0,,,,
4952,PSSCH,OK,16,5,6,400,0,-nan,100000000000.0,,,,
4954,PSSCH,OK,14,9,9,400,0,-nan,100000000000.0,,,,
5061,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
5063,PSSCH,OK,20,2,0,400,0,-nan,100000000000.0,,,,
5065,PSSCH,OK,16,5,7,400,0,-nan,100000000000.0,,,,
5067,PSSCH,OK,14,17,10,400,0,-nan,100000000000.0,,,,
5169,PSSCH,OK,3,1,4,400,0,-nan,100000000000.0,,,,
5171,PSSCH,OK,20,2,1,400,0,-nan,100000000000.0,,,,
5173,PSSCH,OK,16,5,8,3,0,-nan,100000000000.0,,,,
5175,PSSCH,OK,14,9,11,400,0,-nan,100000000000.0,,,,
5177,PSSCH,OK,21,12,10,400,0,-nan,100000000000.0,,,,
5270,PSSCH,OK,3,1,5,400,0,-nan,100000000000.0,,,,
5272,PSSCH,OK,21,1,11,400,0,-nan,100000000000.0,,,,
5274,PSSCH,OK,20,2,2,400,0,-nan,100000000000.0,,,,
5276,PSSCH,OK,14,17,12,400,0,-nan,100000000000.0,,,,
5362,PSSCH,OK,3,1,6,166,0,-nan,100000000000.0,,,,
5364,PSSCH,OK,20,2,3,400,0,-nan,100000000000.0,,,,
5366,PSSCH,OK,14,9,13,400,0,-nan,100000000000.0,,,,
5442,PSSCH,OK,20,2,4,400,0,-nan,100000000000.0,,,,
5444,PSSCH,OK,21,12,13,400,0,-nan,100000000000.0,,,,
5446,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
5517,PSSCH,OK,21,1,14,400,0,-nan,100000000000.0,,,,
5519,PSSCH,OK,20,2,5,400,0,-nan,100000000000.0,,,,
5521,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
5592,PSSCH,OK,20,2,6,400,0,-nan,100000000000.0,,,,
5594,PSSCH,OK,21,3,15,400,0,-nan,100000000000.0,,,,
5596,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
5664,PSSCH,OK,20,2,7,400,0,-nan,100000000000.0,,,,
5666,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
5668,PSSCH,OK,21,12,0,400,0,-nan,100000000000.0,,,,
5739,PSSCH,OK,21,1,1,83,0.0001,-nan,100000000000.0,,,,
5741,PSSCH,OK,20,2,8,400,0,-nan,100000000000.0,,,,
5743,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
5814,PSSCH,OK,20,2,9,400,0,-nan,100000000000.0,,,,
5816,PSSCH,OK,21,3,2,400,0,-nan,100000000000.0,,,,
5818,PSSCH,OK,14,9,3,400,0,-nan,100000000000.0,,,,
5889,PSSCH,OK,20,2,10,400,0,-nan,100000000000.0,,,,
5891,PSSCH,OK,21,12,3,400,0,-nan,100000000000.0,,,,
5893,PSSCH,OK,14,17,4,400,0,-nan,100000000000.0,,,,
5960,PSSCH,OK,20,2,11,70,0.0001,-nan,100000000000.0,,,,
5962,PSSCH,OK,21,3,4,400,0,-nan,100000000000.0,,,,
5964,PSSCH,OK,14,9,5,400,0,-nan,100000000000.0,,,,
6012,PSSCH,OK,21,12,5,400,0,-nan,100000000000.0,,,,
6014,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
6064,PSSCH,OK,21,3,6,355,0,-nan,100000000000.0,,,,
6066,PSSCH,OK,14,9,7,400,0,-nan,100000000000.0,,,,
6116,PSSCH,OK,21,12,7,400,0,-nan,100000000000.0,,,,
6118,PSSCH,OK,14,17,8,400,0,-nan,100000000000.0,,,,
6168,PSSCH,OK,14,9,9,400,0,-nan,100000000000.0,,,,
6170,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
6220,PSSCH,OK,21,12,9,400,0,-nan,100000000000.0,,,,
6222,PSSCH,OK,14,17,10,400,0,-nan,100000000000.0,,,,
6272,PSSCH,OK,14,9,11,400,0,-nan,100000000000.0,,,,
6274,PSSCH,OK,21,12,10,400,0,-nan,100000000000.0,,,,
6324,PSSCH,OK,21,12,11,400,0,-nan,100000000000.0,,,,
6326,PSSCH,OK,14,17,12,400,0,-nan,100000000000.0,,,,
6376,PSSCH,OK,14,9,13,400,0,-nan,100000000000.0,,,,
6378,PSSCH,OK,21,12,12,400,0,-nan,100000000000.0,,,,
6434,PSSCH,OK,21,12,13,400,0,-nan,100000000000.0,,,,
6436,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
6502,PSSCH,OK,16,5,9,18,0,-nan,100000000000.0,,,,
6504,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
6506,PSSCH,OK,21,12,14,400,0,-nan,100000000000.0,,,,
6562,PSSCH,OK,21,12,15,400,0,-nan,100000000000.0,,,,
6564,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
6626,PSSCH,OK,3,1,7,22,0,-nan,100000000000.0,,,,
6628,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
6630,PSSCH,OK,21,12,0,3,0,-nan,100000000000.0,,,,
6664,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
6691,PSSCH,OK,14,9,3,400,0,-nan,100000000000.0,,,,
6724,PSSCH,OK,14,17,4,400,0,-nan,100000000000.0,,,,
6769,PSSCH,OK,21,1,1,12,0.0005,-nan,100000000000.0,,,,
6771,PSSCH,OK,14,9,5,400,0,-nan,100000000000.0,,,,
6804,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
6831,PSSCH,OK,14,9,7,400,0,-nan,100000000000.0,,,,
6862,PSSCH,OK,14,17,8,400,0,-nan,100000000000.0,,,,
6913,PSSCH,OK,20,2,12,38,0,-nan,100000000000.0,,,,
6915,PSSCH,OK,14,9,9,400,0,-nan,100000000000.0,,,,
6966,PSSCH,OK,21,3,2,16,0,-nan,100000000000.0,,,,
6968,PSSCH,OK,14,17,10,400,0,-nan,100000000000.0,,,,
6996,PSSCH,OK,14,9,11,400,0,-nan,100000000000.0,,,,
7023,PSSCH,OK,14,17,12,400,0,-nan,100000000000.0,,,,
7050,PSSCH,OK,14,9,13,400,0,-nan,100000000000.0,,,,
7077,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
7104,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
7131,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
7158,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
7185,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
7218,PSSCH,OK,14,9,3,400,0,-nan,100000000000.0,,,,
