line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1955,0,RX,12,5,21,12,4,5,3,400,,,,,,000060,,member_to_leader,4,4,1
1956,0,RX,16,5,5,16,3,17,3,400,,,,,,000060,,member_to_leader,3,3,1
1957,0,RX,17,5,14,17,1,8,3,400,,,,,,000060,,member_to_leader,1,1,1
1967,0,TX,5,5,5,16,3,20,3,400,4,0,0,,,000060,,member_to_leader,3,3,1
1971,0,TX,14,5,14,17,1,10,3,400,5,0,0,,,000060,,member_to_leader,1,1,1
1972,0,TX,21,5,21,12,4,7,3,400,5,0,0,,,000060,,member_to_leader,4,4,1
2027,0,RX,3,5,21,3,5,6,3,400,,,,,,000060,,member_to_leader,5,5,1
2028,0,RX,9,5,14,9,2,9,3,400,,,,,,000060,,member_to_leader,2,2,1
2029,0,RX,16,5,5,16,3,18,3,400,,,,,,000060,,member_to_leader,3,3,1
2039,0,TX,5,5,5,16,3,21,3,400,5,0,0,,,000060,,member_to_leader,3,3,1
2043,0,TX,14,5,14,9,2,11,3,400,6,0,0,,,000060,,member_to_leader,2,2,1
2047,0,TX,21,5,21,12,4,8,3,400,6,0,0,,,000060,,member_to_leader,4,4,1
2102,0,RX,12,5,21,12,4,6,3,400,,,,,,000060,,member_to_leader,4,4,1
2103,0,RX,16,5,5,16,3,19,3,400,,,,,,000060,,member_to_leader,3,3,1
2104,0,RX,17,5,14,17,1,9,3,400,,,,,,000060,,member_to_leader,1,1,1
2114,0,TX,5,5,5,16,3,22,3,400,6,0,0,,,000060,,member_to_leader,3,3,1
2118,0,TX,14,5,14,17,1,11,3,400,7,0,0,,,000060,,member_to_leader,1,1,1
2122,0,TX,21,5,21,12,4,9,3,400,7,0,0,,,000060,,member_to_leader,4,4,1
2177,0,RX,3,5,21,3,5,7,3,355,,,,,,000060,,member_to_leader,5,5,1
2178,0,RX,9,5,14,9,2,10,3,400,,,,,,000060,,member_to_leader,2,2,1
2179,0,RX,16,5,5,16,3,20,3,400,,,,,,000060,,member_to_leader,3,3,1
2189,0,TX,5,5,5,16,3,23,3,400,7,0,0,,,000060,,member_to_leader,3,3,1
2193,0,TX,14,5,14,9,2,12,3,400,8,0,0,,,000060,,member_to_leader,2,2,1
2197,0,TX,21,5,21,12,4,10,3,400,8,0,0,,,000060,,member_to_leader,4,4,1
2252,0,RX,12,5,21,12,4,7,3,400,,,,,,000060,,member_to_leader,4,4,1
