scenario_id,timestamp,method,budget,planned_areas,selected_agents,non_ego_agents,non_ego_count,area_agent_rows,slice_points,slice_bytes
2026_07_15_02_33_21,000062,comm_aware_topk,10,23,1;4;12;11;10;13;7;9;20;8,4;12;11;10;13;7;9;20;8,9,207,17752,284032
2026_07_15_02_33_21,000062,area_aware_union,10,23,1;12;10;20;11;13;7;14;8;4,12;10;20;11;13;7;14;8;4,9,207,16497,263952
2026_07_15_02_33_21,000064,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22929,366864
2026_07_15_02_33_21,000064,random,5,23,1;9;11;16;5,9;11;16;5,4,92,7858,125728
2026_07_15_02_33_21,000064,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,6141,98256
2026_07_15_02_33_21,000064,comm_aware_topk,5,23,1;4;12;11;10,4;12;11;10,4,92,7657,122512
2026_07_15_02_33_21,000064,area_aware_union,5,23,1;12;10;20;11,12;10;20;11,4,92,7016,112256
2026_07_15_02_33_21,000064,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22929,366864
2026_07_15_02_33_21,000064,random,10,23,1;5;10;11;8;14;3;2;15;19,5;10;11;8;14;3;2;15;19,9,207,13099,209584
2026_07_15_02_33_21,000064,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,13847,221552
2026_07_15_02_33_21,000064,comm_aware_topk,10,23,1;4;12;11;10;13;7;20;9;8,4;12;11;10;13;7;20;9;8,9,207,16637,266192
2026_07_15_02_33_21,000064,area_aware_union,10,23,1;12;10;20;11;13;7;14;8;4,12;10;20;11;13;7;14;8;4,9,207,15002,240032
2026_07_15_02_33_21,000066,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,23089,369424
2026_07_15_02_33_21,000066,random,5,23,1;8;11;17;9,8;11;17;9,4,92,6851,109616
2026_07_15_02_33_21,000066,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,6022,96352
2026_07_15_02_33_21,000066,comm_aware_topk,5,23,1;4;12;11;10,4;12;11;10,4,92,7576,121216
2026_07_15_02_33_21,000066,area_aware_union,5,23,1;12;10;20;13,12;10;20;13,4,92,5986,95776
2026_07_15_02_33_21,000066,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,23089,369424
2026_07_15_02_33_21,000066,random,10,23,1;20;12;17;10;13;14;8;5;7,20;12;17;10;13;14;8;5;7,9,207,15618,249888
2026_07_15_02_33_21,000066,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,14084,225344
2026_07_15_02_33_21,000066,comm_aware_topk,10,23,1;4;12;11;10;13;7;20;9;8,4;12;11;10;13;7;20;9;8,9,207,16867,269872
2026_07_15_02_33_21,000066,area_aware_union,10,23,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,207,15628,250048
2026_07_15_02_33_21,000068,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22988,367808
2026_07_15_02_33_21,000068,random,5,23,1;10;5;9;2,10;5;9;2,4,92,8234,131744
2026_07_15_02_33_21,000068,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,5934,94944
2026_07_15_02_33_21,000068,comm_aware_topk,5,23,1;4;12;11;10,4;12;11;10,4,92,7491,119856
2026_07_15_02_33_21,000068,area_aware_union,5,23,1;12;10;20;13,12;10;20;13,4,92,5879,94064
2026_07_15_02_33_21,000068,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22988,367808
2026_07_15_02_33_21,000068,random,10,23,1;16;6;9;19;20;3;2;12;5,16;6;9;19;20;3;2;12;5,9,207,10983,175728
2026_07_15_02_33_21,000068,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,13972,223552
2026_07_15_02_33_21,000068,comm_aware_topk,10,23,1;4;12;11;10;13;20;7;9;8,4;12;11;10;13;20;7;9;8,9,207,16760,268160
2026_07_15_02_33_21,000068,area_aware_union,10,23,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,207,15522,248352
2026_07_15_02_33_21,000070,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22850,365600
2026_07_15_02_33_21,000070,random,5,23,1;9;4;17;14,9;4;17;14,4,92,3072,49152
2026_07_15_02_33_21,000070,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,5829,93264
2026_07_15_02_33_21,000070,comm_aware_topk,5,23,1;4;12;10;11,4;12;10;11,4,92,7388,118208
2026_07_15_02_33_21,000070,area_aware_union,5,23,1;12;10;20;13,12;10;20;13,4,92,5772,92352
2026_07_15_02_33_21,000070,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22850,365600
2026_07_15_02_33_21,000070,random,10,23,1;20;4;6;5;15;9;7;12;10,20;4;6;5;15;9;7;12;10,9,207,14361,229776
2026_07_15_02_33_21,000070,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,13822,221152
2026_07_15_02_33_21,000070,comm_aware_topk,10,23,1;4;12;10;11;13;20;7;9;8,4;12;10;11;13;20;7;9;8,9,207,16626,266016
2026_07_15_02_33_21,000070,area_aware_union,10,23,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,207,15394,246304
2026_07_15_02_33_21,000072,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22894,366304
2026_07_15_02_33_21,000072,random,5,23,1;3;9;16;11,3;9;16;11,4,92,4388,70208
2026_07_15_02_33_21,000072,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,6171,98736
2026_07_15_02_33_21,000072,comm_aware_topk,5,23,1;4;12;11;10,4;12;11;10,4,92,7701,123216
2026_07_15_02_33_21,000072,area_aware_union,5,23,1;12;10;20;13,12;10;20;13,4,92,5494,87904
2026_07_15_02_33_21,000072,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22894,366304
2026_07_15_02_33_21,000072,random,10,23,1;9;15;14;16;4;20;11;19;18,9;15;14;16;4;20;11;19;18,9,207,7703,123248
2026_07_15_02_33_21,000072,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,13742,219872
2026_07_15_02_33_21,000072,comm_aware_topk,10,23,1;4;12;11;10;13;20;7;9;2,4;12;11;10;13;20;7;9;2,9,207,14067,225072
2026_07_15_02_33_21,000072,area_aware_union,10,23,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,207,14993,239888
2026_07_15_02_33_21,000074,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22955,367280
2026_07_15_02_33_21,000074,random,5,23,1;13;16;12;15,13;16;12;15,4,92,2792,44672
2026_07_15_02_33_21,000074,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,5591,89456
2026_07_15_02_33_21,000074,comm_aware_topk,5,23,1;4;12;10;11,4;12;10;11,4,92,7137,114192
2026_07_15_02_33_21,000074,area_aware_union,5,23,1;12;10;20;14,12;10;20;14,4,92,5468,87488
2026_07_15_02_33_21,000074,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22955,367280
2026_07_15_02_33_21,000074,random,10,23,1;6;9;13;4;10;2;17;8;7,6;9;13;4;10;2;17;8;7,9,207,13106,209696
2026_07_15_02_33_21,000074,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,13881,222096
2026_07_15_02_33_21,000074,comm_aware_topk,10,23,1;4;12;10;11;13;20;7;9;2,4;12;10;11;13;20;7;9;2,9,207,14253,228048
2026_07_15_02_33_21,000074,area_aware_union,10,23,1;12;10;20;14;13;11;7;4;8,12;10;20;14;13;11;7;4;8,9,207,15568,249088
2026_07_15_02_33_21,000076,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22687,362992
2026_07_15_02_33_21,000076,random,5,23,1;6;2;8;13,6;2;8;13,4,92,5549,88784
2026_07_15_02_33_21,000076,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,5486,87776
2026_07_15_02_33_21,000076,comm_aware_topk,5,23,1;4;12;10;11,4;12;10;11,4,92,7274,116384
2026_07_15_02_33_21,000076,area_aware_union,5,23,1;12;10;20;14,12;10;20;14,4,92,4672,74752
2026_07_15_02_33_21,000076,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,22687,362992
2026_07_15_02_33_21,000076,random,10,23,1;2;6;17;20;9;11;18;3;4,2;6;17;20;9;11;18;3;4,9,207,8013,128208
2026_07_15_02_33_21,000076,confidence_topk,10,23,1;12;4;13;10;20;9;7;16;11,12;4;13;10;20;9;7;16;11,9,207,13444,215104
2026_07_15_02_33_21,000076,comm_aware_topk,10,23,1;4;12;10;11;13;20;2;9;7,4;12;10;11;13;20;2;9;7,9,207,13947,223152
2026_07_15_02_33_21,000076,area_aware_union,10,23,1;12;10;20;14;13;7;11;4;8,12;10;20;14;13;7;11;4;8,9,207,14794,236704
2026_07_15_02_33_21,000078,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,23543,376688
2026_07_15_02_33_21,000078,random,5,23,1;9;18;19;14,9;18;19;14,4,92,2234,35744
2026_07_15_02_33_21,000078,confidence_topk,5,23,1;4;13;12;10,4;13;12;10,4,92,5896,94336
2026_07_15_02_33_21,000078,comm_aware_topk,5,23,1;4;12;10;11,4;12;10;11,4,92,7374,117984
2026_07_15_02_33_21,000078,area_aware_union,5,23,1;10;12;20;14,10;12;20;14,4,92,5763,92208
2026_07_15_02_33_21,000078,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,23543,376688
2026_07_15_02_33_21,000078,random,10,23,1;9;5;15;14;16;19;20;2;7,9;5;15;14;16;19;20;2;7,9,207,12241,195856
2026_07_15_02_33_21,000078,confidence_topk,10,23,1;4;13;12;10;20;9;7;11;16,4;13;12;10;20;9;7;11;16,9,207,14540,232640
2026_07_15_02_33_21,000078,comm_aware_topk,10,23,1;4;12;10;11;13;20;9;2;7,4;12;10;11;13;20;9;2;7,9,207,15021,240336
2026_07_15_02_33_21,000078,area_aware_union,10,23,1;10;12;20;14;13;7;11;4;8,10;12;20;14;13;7;11;4;8,9,207,15383,246128
2026_07_15_02_33_21,000080,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,23025,368400
2026_07_15_02_33_21,000080,random,5,23,1;13;11;16;9,13;11;16;9,4,92,4682,74912
2026_07_15_02_33_21,000080,confidence_topk,5,23,1;4;13;12;10,4;13;12;10,4,92,5926,94816
2026_07_15_02_33_21,000080,comm_aware_topk,5,23,1;4;12;10;11,4;12;10;11,4,92,7471,119536
2026_07_15_02_33_21,000080,area_aware_union,5,23,1;10;12;20;14,10;12;20;14,4,92,5107,81712
2026_07_15_02_33_21,000080,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,23025,368400
2026_07_15_02_33_21,000080,random,10,23,1;2;10;3;11;17;13;15;8;20,2;10;3;11;17;13;15;8;20,9,207,10329,165264
2026_07_15_02_33_21,000080,confidence_topk,10,23,1;4;13;12;10;20;9;7;11;16,4;13;12;10;20;9;7;11;16,9,207,13841,221456
2026_07_15_02_33_21,000080,comm_aware_topk,10,23,1;4;12;10;11;13;20;2;9;7,4;12;10;11;13;20;2;9;7,9,207,14391,230256
2026_07_15_02_33_21,000080,area_aware_union,10,23,1;10;12;20;14;13;7;11;4;16,10;12;20;14;13;7;11;4;16,9,207,11899,190384
