scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000068,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5,5,"{""5"": 39}","{""5"": 4522, ""16"": 4887}",72352,4.024026696329255,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,8,27,
2026_07_15_01_26_56,000068,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 55}","{""17"": 4976, ""18"": 4990}",79840,4.440489432703004,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,2,10,
2026_07_15_01_26_56,000070,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;4;12,1;4,4,"{""4"": 56}","{""1"": 4925, ""4"": 4827}",77232,4.295439377085651,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,4,16,34,
2026_07_15_01_26_56,000070,11,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,2;8;9;11,11;8,8,"{""8"": 55}","{""8"": 4751, ""11"": 4909}",76016,4.227808676307007,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,15,32,
2026_07_15_01_26_56,000070,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3766, ""13"": 4795}",60256,3.3512791991101225,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,4,25,
2026_07_15_01_26_56,000070,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 59}","{""6"": 4510, ""15"": 4740}",72160,4.013348164627364,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,16,
2026_07_15_01_26_56,000070,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5,5,"{""5"": 39}","{""5"": 4509, ""16"": 4856}",72144,4.01245828698554,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,7,27,
2026_07_15_01_26_56,000070,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 53}","{""17"": 4972, ""18"": 5023}",80368,4.469855394883203,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,1,10,
2026_07_15_01_26_56,000072,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4928, ""8"": 4357}",69712,3.8771968854282535,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,9,32,
2026_07_15_01_26_56,000072,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;9;12,4;12,12,"{""12"": 54}","{""4"": 4868, ""12"": 2450}",39200,2.18020022246941,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,7,34,
2026_07_15_01_26_56,000072,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3769, ""13"": 4800}",60304,3.353948832035595,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,4,24,
2026_07_15_01_26_56,000072,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 55}","{""6"": 4495, ""15"": 4748}",71920,4.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,11,18,
2026_07_15_01_26_56,000072,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5,5,"{""5"": 39}","{""5"": 4518, ""16"": 4868}",72288,4.020467185761958,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,7,26,
2026_07_15_01_26_56,000072,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 53}","{""17"": 4977, ""18"": 4982}",79712,4.43337041156841,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,0,10,
2026_07_15_01_26_56,000074,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4931, ""8"": 4385}",70160,3.9021134593993323,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,9,32,
2026_07_15_01_26_56,000074,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;7;12,12,,{},"{""12"": 4881}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,6,19,
2026_07_15_01_26_56,000074,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3770, ""13"": 4800}",60320,3.3548387096774195,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,5,25,
2026_07_15_01_26_56,000074,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 54}","{""6"": 4491, ""15"": 4753}",71856,3.996440489432703,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,18,
