timestamp,area_id,area_center_x,area_center_y,priority,group_members,group_size,leader_id,group_confidence,member_uploads,leader_uploads
000068,16_8,25.000,11.000,2.100000,12;4,2,12,0.972669,1,1
000068,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000070,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993256,1,1
000070,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.984002,1,1
000070,13_0,-5.000,-37.000,3.200000,2,1,2,0.965489,0,1
000070,11_7,-25.000,5.000,3.200000,9;10,2,9,0.984060,1,1
000070,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000070,18_7,45.000,5.000,3.200000,12;4,2,12,0.252776,1,1
000070,14_1,5.000,-31.000,3.100000,1,1,1,0.937491,0,1
000070,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000070,14_10,5.000,23.000,3.100000,7,1,7,0.915152,0,1
000070,12_4,-15.000,-13.000,3.100000,10,1,10,0.830790,0,1
000070,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000070,17_5,35.000,-7.000,3.100000,12;4,2,4,0.828985,1,1
000070,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000070,14_11,5.000,29.000,2.200000,7;16,2,16,0.872283,1,1
000070,16_7,25.000,5.000,2.100000,12,1,12,0.969957,0,1
000070,14_9,5.000,17.000,2.100000,7,1,7,0.950103,0,1
000070,12_11,-15.000,29.000,2.100000,16;20,2,20,0.975956,1,1
000070,15_6,15.000,-1.000,2.100000,4,1,4,0.911253,0,1
000070,12_5,-15.000,-7.000,2.100000,10,1,10,0.903504,0,1
000070,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979251,1,1
000070,13_9,-5.000,17.000,2.100000,20;7,2,20,0.975449,1,1
000070,16_8,25.000,11.000,2.100000,12;4,2,12,0.971787,1,1
000070,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000072,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993333,1,1
000072,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.984331,1,1
000072,13_0,-5.000,-37.000,3.200000,2,1,2,0.965071,0,1
000072,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000072,11_7,-25.000,5.000,3.200000,9;10,2,9,0.984367,1,1
000072,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000072,14_3,5.000,-19.000,3.200000,1;8,2,8,0.943908,1,1
000072,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000072,14_10,5.000,23.000,3.100000,7,1,7,0.911791,0,1
000072,12_4,-15.000,-13.000,3.100000,10,1,10,0.826758,0,1
