timestamp,sample_seed,agent_count,area_count,group_count,delta_g,total_group_load,greedy_max_load,optimal_max_load,absolute_gap,relative_gap,greedy_loads,optimal_loads,greedy_assignments,optimal_assignments
000080,7,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;13:1;20:0;7:0;9:0,-1:2;13:1;20:0;7:0;9:0,11_0:-1;13_5:-1;9_3:13,11_0:-1;13_5:-1;9_3:13
000080,7,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;13:1;20:0;7:0;9:0,-1:2;13:1;20:0;7:0;9:0,11_0:-1;13_5:-1;9_3:13,11_0:-1;13_5:-1;9_3:13
000080,11,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;16:0;20:0,-1:3;11:0;12:0;16:0;20:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,11,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;16:0;20:0,-1:3;11:0;12:0;16:0;20:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,11,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;16:0;20:0,-1:3;11:0;12:0;16:0;20:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,11,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;16:0;20:0,-1:3;11:0;12:0;16:0;20:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,23,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;20:0;4:0,-1:3;11:0;12:0;20:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,23,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;20:0;4:0,-1:3;11:0;12:0;20:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,23,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;20:0;4:0,-1:3;11:0;12:0;20:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,23,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;11:0;12:0;20:0;4:0,-1:3;11:0;12:0;20:0;4:0,11_0:-1;11_9:-1;13_7:-1,11_0:-1;11_9:-1;13_7:-1
000080,37,5,3,3,0.050000,4,2,2,0.000000,0.000000,10:2;11:1;12:0;16:1;7:0,10:2;11:1;12:0;16:1;7:0,11_0:11;11_10:16;11_9:10,11_0:11;11_10:16;11_9:10
000080,37,5,3,3,0.075000,4,2,2,0.000000,0.000000,10:2;11:1;12:0;16:1;7:0,10:2;11:1;12:0;16:1;7:0,11_0:11;11_10:16;11_9:10,11_0:11;11_10:16;11_9:10
000080,37,5,3,3,0.100000,3,1,1,0.000000,0.000000,10:1;11:1;12:0;16:1;7:0,10:1;11:1;12:0;16:1;7:0,11_0:11;11_10:16;11_9:10,11_0:11;11_10:16;11_9:10
000080,37,5,3,3,0.125000,3,1,1,0.000000,0.000000,10:1;11:1;12:0;16:1;7:0,10:1;11:1;12:0;16:1;7:0,11_0:11;11_10:16;11_9:10,11_0:11;11_10:16;11_9:10
