timestamp,sample_seed,agent_count,area_count,delta_g,objective,greedy_value,optimal_value,absolute_gap,relative_gap,greedy_mean_conf,optimal_mean_conf,greedy_packet_count,optimal_packet_count,greedy_max_load,optimal_max_load,candidate_combinations
000070,7,5,3,0.075000,O3_confidence_latency_ratio,0.683697,0.744445,0.060747,0.081601,0.957176,0.930556,4,3,2,1,15625
000070,7,5,3,0.100000,O3_confidence_latency_ratio,0.641763,0.744445,0.102682,0.137931,0.930556,0.930556,3,3,3,1,15625
000070,7,5,3,0.125000,O3_confidence_latency_ratio,0.641763,0.744445,0.102682,0.137931,0.930556,0.930556,3,3,3,1,15625
000070,11,5,3,0.050000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000070,11,5,3,0.075000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000070,11,5,3,0.100000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000070,11,5,3,0.125000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000070,23,5,3,0.050000,O3_confidence_latency_ratio,0.708085,0.766667,0.058581,0.076410,0.991319,0.958333,4,3,2,1,15625
000070,23,5,3,0.075000,O3_confidence_latency_ratio,0.708085,0.766667,0.058581,0.076410,0.991319,0.958333,4,3,2,1,15625
000070,23,5,3,0.100000,O3_confidence_latency_ratio,0.709877,0.766667,0.056790,0.074074,0.958333,0.958333,3,3,2,1,15625
000070,23,5,3,0.125000,O3_confidence_latency_ratio,0.709877,0.766667,0.056790,0.074074,0.958333,0.958333,3,3,2,1,15625
000070,37,5,3,0.050000,O3_confidence_latency_ratio,0.562539,0.642222,0.079683,0.124073,0.900063,0.802778,6,3,3,1,15625
000070,37,5,3,0.075000,O3_confidence_latency_ratio,0.566797,0.642222,0.075425,0.117444,0.878535,0.802778,5,3,3,1,15625
000070,37,5,3,0.100000,O3_confidence_latency_ratio,0.607672,0.642222,0.034550,0.053798,0.850741,0.802778,4,3,2,1,15625
000070,37,5,3,0.125000,O3_confidence_latency_ratio,0.607672,0.642222,0.034550,0.053798,0.850741,0.802778,4,3,2,1,15625
000072,7,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,7,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,7,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,7,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,11,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000072,11,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000072,11,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000072,11,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000072,23,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,23,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,23,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,23,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,37,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,37,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,37,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000072,37,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.800000,0.059259,0.074074,1.000000,1.000000,3,3,2,1,15625
000074,7,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000074,7,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000074,7,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000074,7,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000074,11,5,3,0.050000,O3_confidence_latency_ratio,0.481599,0.517529,0.035929,0.069425,0.794639,0.750417,7,5,3,2,15625
000074,11,5,3,0.075000,O3_confidence_latency_ratio,0.485793,0.517529,0.031736,0.061322,0.777269,0.750417,6,5,3,2,15625
000074,11,5,3,0.100000,O3_confidence_latency_ratio,0.517529,0.517529,0.000000,0.000000,0.750417,0.750417,5,5,2,2,15625
000074,11,5,3,0.125000,O3_confidence_latency_ratio,0.509425,0.517529,0.008104,0.015659,0.713195,0.750417,4,5,2,2,15625
000074,23,5,3,0.050000,O3_confidence_latency_ratio,0.685824,0.712070,0.026246,0.036859,0.994444,0.996898,3,4,3,2,15625
000074,23,5,3,0.075000,O3_confidence_latency_ratio,0.685824,0.712070,0.026246,0.036859,0.994444,0.996898,3,4,3,2,15625
000074,23,5,3,0.100000,O3_confidence_latency_ratio,0.685824,0.712070,0.026246,0.036859,0.994444,0.996898,3,4,3,2,15625
000074,23,5,3,0.125000,O3_confidence_latency_ratio,0.685824,0.712070,0.026246,0.036859,0.994444,0.996898,3,4,3,2,15625
000074,37,5,3,0.050000,O3_confidence_latency_ratio,0.800000,0.800000,0.000000,0.000000,1.000000,1.000000,3,3,1,1,15625
000074,37,5,3,0.075000,O3_confidence_latency_ratio,0.800000,0.800000,0.000000,0.000000,1.000000,1.000000,3,3,1,1,15625
000074,37,5,3,0.100000,O3_confidence_latency_ratio,0.800000,0.800000,0.000000,0.000000,1.000000,1.000000,3,3,1,1,15625
000074,37,5,3,0.125000,O3_confidence_latency_ratio,0.800000,0.800000,0.000000,0.000000,1.000000,1.000000,3,3,1,1,15625
000076,7,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000076,7,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000076,7,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000076,7,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000076,11,5,3,0.050000,O3_confidence_latency_ratio,0.652712,0.715555,0.062844,0.087825,0.913796,0.894444,4,3,2,1,15625
000076,11,5,3,0.075000,O3_confidence_latency_ratio,0.715555,0.715555,0.000000,0.000000,0.894444,0.894444,3,3,1,1,15625
000076,11,5,3,0.100000,O3_confidence_latency_ratio,0.715555,0.715555,0.000000,0.000000,0.894444,0.894444,3,3,1,1,15625
000076,11,5,3,0.125000,O3_confidence_latency_ratio,0.715555,0.715555,0.000000,0.000000,0.894444,0.894444,3,3,1,1,15625
000076,23,5,3,0.050000,O3_confidence_latency_ratio,0.709325,0.766667,0.057341,0.074793,0.993056,0.958333,4,3,2,1,15625
000076,23,5,3,0.075000,O3_confidence_latency_ratio,0.709325,0.766667,0.057341,0.074793,0.993056,0.958333,4,3,2,1,15625
000076,23,5,3,0.100000,O3_confidence_latency_ratio,0.709325,0.766667,0.057341,0.074793,0.993056,0.958333,4,3,2,1,15625
000076,23,5,3,0.125000,O3_confidence_latency_ratio,0.709877,0.766667,0.056790,0.074074,0.958333,0.958333,3,3,2,1,15625
000076,37,5,3,0.050000,O3_confidence_latency_ratio,0.598066,0.639798,0.041732,0.065227,0.927002,0.895718,5,4,3,2,15625
000076,37,5,3,0.075000,O3_confidence_latency_ratio,0.598066,0.639798,0.041732,0.065227,0.927002,0.895718,5,4,3,2,15625
000076,37,5,3,0.100000,O3_confidence_latency_ratio,0.597963,0.639798,0.041835,0.065388,0.896944,0.895718,4,4,3,2,15625
000076,37,5,3,0.125000,O3_confidence_latency_ratio,0.597963,0.639798,0.041835,0.065388,0.896944,0.895718,4,4,3,2,15625
000078,7,5,3,0.050000,O3_confidence_latency_ratio,0.711558,0.757778,0.046220,0.060995,0.996181,0.947222,4,3,2,1,15625
000078,7,5,3,0.075000,O3_confidence_latency_ratio,0.711558,0.757778,0.046220,0.060995,0.996181,0.947222,4,3,2,1,15625
000078,7,5,3,0.100000,O3_confidence_latency_ratio,0.668582,0.757778,0.089196,0.117707,0.969444,0.947222,3,3,3,1,15625
000078,7,5,3,0.125000,O3_confidence_latency_ratio,0.668582,0.757778,0.089196,0.117707,0.969444,0.947222,3,3,3,1,15625
000078,11,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000078,11,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000078,11,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000078,11,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000078,23,5,3,0.050000,O3_confidence_latency_ratio,0.711558,0.766667,0.055109,0.071881,0.996181,0.958333,4,3,2,1,15625
000078,23,5,3,0.075000,O3_confidence_latency_ratio,0.711558,0.766667,0.055109,0.071881,0.996181,0.958333,4,3,2,1,15625
000078,23,5,3,0.100000,O3_confidence_latency_ratio,0.668582,0.766667,0.098084,0.127936,0.969444,0.958333,3,3,3,1,15625
000078,23,5,3,0.125000,O3_confidence_latency_ratio,0.668582,0.766667,0.098084,0.127936,0.969444,0.958333,3,3,3,1,15625
000078,37,5,3,0.050000,O3_confidence_latency_ratio,0.681992,0.710648,0.028656,0.040323,0.988889,0.994907,3,4,3,2,15625
000078,37,5,3,0.075000,O3_confidence_latency_ratio,0.681992,0.710648,0.028656,0.040323,0.988889,0.994907,3,4,3,2,15625
000078,37,5,3,0.100000,O3_confidence_latency_ratio,0.681992,0.710648,0.028656,0.040323,0.988889,0.994907,3,4,3,2,15625
000078,37,5,3,0.125000,O3_confidence_latency_ratio,0.681992,0.710648,0.028656,0.040323,0.988889,0.994907,3,4,3,2,15625
000080,7,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000080,7,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000080,7,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000080,7,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000080,11,5,3,0.050000,O3_confidence_latency_ratio,0.689655,0.800000,0.110345,0.137931,1.000000,1.000000,3,3,3,1,15625
000080,11,5,3,0.075000,O3_confidence_latency_ratio,0.689655,0.800000,0.110345,0.137931,1.000000,1.000000,3,3,3,1,15625
