scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,gt_scope,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000080,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13978, ""2"": 13848, ""3"": 14029, ""4"": 13748, ""5"": 13962, ""6"": 13205, ""7"": 13974, ""8"": 13737, ""9"": 13820, ""10"": 13976, ""11"": 13866, ""12"": 13953, ""13"": 13628, ""14"": 14250, ""15"": 13527, ""16"": 13918, ""17"": 14129, ""18"": 14175, ""19"": 13698, ""20"": 13916}",4213744,126.80756395995552,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;3>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;17>1:0;18>1:5;20>1:6,4;5;7;8;9;10;11;16;19,66,71,
2026_07_29_02_32_08,000082,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13971, ""2"": 13847, ""3"": 14024, ""4"": 13746, ""5"": 13982, ""6"": 13207, ""7"": 13990, ""8"": 13735, ""9"": 13820, ""10"": 13992, ""11"": 13864, ""12"": 13970, ""13"": 13604, ""14"": 14197, ""15"": 13530, ""16"": 13943, ""17"": 14138, ""18"": 14147, ""19"": 13698, ""20"": 13917}",4213616,126.33592880978867,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,63,71,
2026_07_29_02_32_08,000084,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13971, ""2"": 13827, ""3"": 14039, ""4"": 13751, ""5"": 13992, ""6"": 13227, ""7"": 13956, ""8"": 13732, ""9"": 13819, ""10"": 13992, ""11"": 13867, ""12"": 14013, ""13"": 13586, ""14"": 14192, ""15"": 13532, ""16"": 13981, ""17"": 14146, ""18"": 14130, ""19"": 13697, ""20"": 13917}",4214336,126.29143492769745,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,66,71,
2026_07_29_02_32_08,000086,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13972, ""2"": 13830, ""3"": 14064, ""4"": 13760, ""5"": 13991, ""6"": 13258, ""7"": 13954, ""8"": 13733, ""9"": 13816, ""10"": 14000, ""11"": 13863, ""12"": 14037, ""13"": 13599, ""14"": 14194, ""15"": 13534, ""16"": 13995, ""17"": 14140, ""18"": 14119, ""19"": 13697, ""20"": 13917}",4216016,126.30923248053394,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,67,71,
2026_07_29_02_32_08,000088,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13967, ""2"": 13828, ""3"": 14078, ""4"": 13764, ""5"": 14010, ""6"": 13280, ""7"": 13968, ""8"": 13735, ""9"": 13816, ""10"": 13995, ""11"": 13866, ""12"": 14084, ""13"": 13598, ""14"": 14168, ""15"": 13521, ""16"": 14006, ""17"": 14155, ""18"": 14101, ""19"": 13696, ""20"": 13915}",4217344,126.0778642936596,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;3>1:8;6>1:3;12>1:2;13>1:4;14>1:1;15>1:9;16>1:6;17>1:0;18>1:5,4;5;7;8;9;10;11;19;20,66,71,
2026_07_29_02_32_08,000090,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13964, ""2"": 13829, ""3"": 14069, ""4"": 13767, ""5"": 14019, ""6"": 13267, ""7"": 13956, ""8"": 13735, ""9"": 13814, ""10"": 13989, ""11"": 13865, ""12"": 14081, ""13"": 13587, ""14"": 14121, ""15"": 13534, ""16"": 13992, ""17"": 14164, ""18"": 14109, ""19"": 13697, ""20"": 13914}",4216144,126.04226918798663,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;3>1:8;6>1:3;12>1:2;13>1:4;14>1:1;15>1:9;17>1:0;18>1:5;20>1:6,4;5;7;8;9;10;11;16;19,64,72,
2026_07_29_02_32_08,000092,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13964, ""2"": 13837, ""3"": 14099, ""4"": 13767, ""5"": 14008, ""6"": 13289, ""7"": 13967, ""8"": 13736, ""9"": 13812, ""10"": 13986, ""11"": 13865, ""12"": 14115, ""13"": 13577, ""14"": 14072, ""15"": 13570, ""16"": 14026, ""17"": 14182, ""18"": 14082, ""19"": 13697, ""20"": 13912}",4217584,126.20244716351503,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:9;3>1:8;6>1:3;12>1:2;13>1:4;14>1:1;15>1:7;17>1:0;18>1:5;20>1:6,4;5;7;8;9;10;11;16;19,64,72,
2026_07_29_02_32_08,000094,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13962, ""2"": 13842, ""3"": 14104, ""4"": 13766, ""5"": 13985, ""6"": 13290, ""7"": 13950, ""8"": 13735, ""9"": 13811, ""10"": 13987, ""11"": 13867, ""12"": 14132, ""13"": 13577, ""14"": 14008, ""15"": 13568, ""16"": 14054, ""17"": 14181, ""18"": 14076, ""19"": 13695, ""20"": 13905}",4216528,126.19354838709678,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],3>1:8;6>1:3;11>1:9;12>1:2;13>1:4;14>1:1;15>1:7;17>1:0;18>1:5;20>1:6,2;4;5;7;8;9;10;16;19,66,72,
2026_07_29_02_32_08,000096,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13962, ""2"": 13853, ""3"": 14114, ""4"": 13769, ""5"": 14010, ""6"": 13277, ""7"": 13966, ""8"": 13737, ""9"": 13810, ""10"": 13986, ""11"": 13865, ""12"": 14132, ""13"": 13525, ""14"": 13863, ""15"": 13554, ""16"": 14023, ""17"": 14183, ""18"": 14073, ""19"": 13696, ""20"": 13901}",4213392,126.21134593993327,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;3>1:7;6>1:3;12>1:1;13>1:4;14>1:2;15>1:9;17>1:0;18>1:5;20>1:6,4;5;7;8;9;10;11;16;19,67,72,
2026_07_29_02_32_08,000098,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13964, ""2"": 13857, ""3"": 14132, ""4"": 13767, ""5"": 13978, ""6"": 13298, ""7"": 13937, ""8"": 13742, ""9"": 13810, ""10"": 13986, ""11"": 13864, ""12"": 14159, ""13"": 13562, ""14"": 13798, ""15"": 13584, ""16"": 14050, ""17"": 14193, ""18"": 14055, ""19"": 13696, ""20"": 13901}",4213904,126.3003337041157,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;3>1:7;4>1:9;6>1:3;12>1:1;13>1:4;14>1:2;17>1:0;18>1:5;20>1:6,5;7;8;9;10;11;15;16;19,67,72,
2026_07_29_02_32_08,000100,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13960, ""2"": 13841, ""3"": 14146, ""4"": 13767, ""5"": 13987, ""6"": 13332, ""7"": 13964, ""8"": 13738, ""9"": 13806, ""10"": 13984, ""11"": 13862, ""12"": 14139, ""13"": 13544, ""14"": 13829, ""15"": 13585, ""16"": 14037, ""17"": 14181, ""18"": 14037, ""19"": 13697, ""20"": 13900}",4214016,126.19354838709678,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;3>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;17>1:0;18>1:5;20>1:6,5;7;8;9;10;11;15;16;19,66,72,
2026_07_29_02_32_08,000102,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13962, ""2"": 13837, ""3"": 14165, ""4"": 13767, ""5"": 14011, ""6"": 13347, ""7"": 13941, ""8"": 13738, ""9"": 13806, ""10"": 13984, ""11"": 13862, ""12"": 14169, ""13"": 13542, ""14"": 13768, ""15"": 13594, ""16"": 14049, ""17"": 14188, ""18"": 14030, ""19"": 13698, ""20"": 13900}",4214336,126.25583982202448,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;3>1:7;4>1:9;6>1:3;12>1:1;13>1:4;14>1:2;17>1:0;18>1:5;20>1:6,5;7;8;9;10;11;15;16;19,65,72,
