timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio
000064,13_2,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,13_0,2,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,14_1,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,11_7,10,9,member_to_leader,2384,10000,raw_lidar_slice,5104,149,0.029193
000064,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,13_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,12_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,14_11,20,7,member_to_leader,800,10000,raw_lidar_slice,5179,50,0.009654
000064,14_11,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,15_4,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,14_3,8,1,member_to_leader,1616,10000,raw_lidar_slice,5125,101,0.019707
000064,14_3,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,17_5,4,12,member_to_leader,912,10000,raw_lidar_slice,5150,57,0.011068
000064,17_5,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,18_7,12,4,member_to_leader,512,10000,raw_lidar_slice,5223,32,0.006127
000064,18_7,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,15_3,1,8,member_to_leader,1520,10000,raw_lidar_slice,5119,95,0.018558
000064,15_3,8,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,16_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,14_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,12_11,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,11_5,9,10,member_to_leader,3072,10000,raw_lidar_slice,5099,192,0.037654
000064,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,16_8,4,12,member_to_leader,2928,10000,raw_lidar_slice,5150,183,0.035534
000064,16_8,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
