scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000128,13,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,12;13;16,13;12,12,"{""12"": 4}","{""12"": 1799, ""13"": 4698}",28784,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",12>13:2,,7,19,
2026_07_15_01_26_56,000128,14,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,4;14,14;4,4,"{""4"": 51}","{""4"": 4823, ""14"": 4842}",77168,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",4>14:4,,4,1,
2026_07_15_01_26_56,000128,15,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,8;11;15,15;8;11,8;11,"{""8"": 42, ""11"": 8}","{""8"": 4646, ""11"": 1095, ""15"": 4821}",91856,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",8>15:2;11>15:0,,24,36,
2026_07_15_01_26_56,000128,16,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,5;13;16,16;13;5,13;5,"{""5"": 2, ""13"": 55}","{""5"": 105, ""13"": 4659, ""16"": 5018}",76224,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",5>16:3;13>16:3,,15,34,
2026_07_15_01_26_56,000128,17,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,1;17,17,,{},"{""17"": 5026}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,13,12,
2026_07_15_01_26_56,000128,18,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,3;7;18,18;7,7,"{""7"": 59}","{""7"": 4910, ""18"": 4870}",78560,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",7>18:5,,15,18,
2026_07_15_01_26_56,000128,19,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,3;7;19,19;7,7,"{""7"": 6}","{""7"": 1798, ""19"": 4830}",28768,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",7>19:1,,14,22,
2026_07_15_01_26_56,000128,20,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,20,20,,{},"{""20"": 4900}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,16,19,
2026_07_15_01_26_56,000130,1,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,1;17,1;17,17,"{""17"": 59}","{""1"": 4928, ""17"": 4940}",79040,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",17>1:7,,29,25,
2026_07_15_01_26_56,000130,2,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,2;5,2;5,5,"{""5"": 43}","{""2"": 4853, ""5"": 4135}",66160,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.95995550611791, 16.03559510567297]","[740896, 95840]",5>2:3,,23,37,
