line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
11704,PSSCH,OK,9,1,12,83,0.0001,-nan,100000000000.0,,,,
11706,PSSCH,OK,17,1,12,83,0.0001,-nan,100000000000.0,,,,
11708,PSSCH,OK,4,1,7,83,0.0001,-nan,100000000000.0,,,,
11710,PSSCH,OK,13,,,,,,,,,,
11713,PSSCH,OK,21,1,1,400,0,-nan,100000000000.0,,,,
11802,PSSCH,OK,21,1,2,83,0.0001,-nan,100000000000.0,,,,
11804,PSSCH,OK,14,17,8,400,0,-nan,100000000000.0,,,,
11856,PSSCH,OK,3,1,10,400,0,-nan,100000000000.0,,,,
11858,PSSCH,OK,14,9,9,400,0,-nan,100000000000.0,,,,
11905,PSSCH,OK,14,17,10,400,0,-nan,100000000000.0,,,,
11954,PSSCH,OK,3,1,12,400,0,-nan,100000000000.0,,,,
11956,PSSCH,OK,14,19,11,6,0.0001,-nan,100000000000.0,,,,
12006,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
12055,PSSCH,OK,3,1,14,400,0,-nan,100000000000.0,,,,
12057,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
12107,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
12158,PSSCH,OK,3,1,0,400,0,-nan,100000000000.0,,,,
12160,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
12210,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
12259,PSSCH,OK,3,1,2,400,0,-nan,100000000000.0,,,,
12261,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
12311,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
12313,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
12363,PSSCH,OK,3,1,4,400,0,-nan,100000000000.0,,,,
12365,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
