line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1780,2,RX,16,5,5,16,3,9,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
1788,2,TX,3,5,3,1,18,7,3,400,13,0,0,,,000064,11_7,leader_to_rsu,110,110,1
1792,2,TX,5,5,5,16,3,12,3,400,12,0,0,,,000064,11_5,member_to_leader,95,95,1
1796,2,TX,14,5,14,17,1,6,3,400,13,0,0,,,000064,12_9,member_to_leader,93,93,1
1800,2,TX,21,5,21,3,5,4,3,400,13,0,0,,,000064,16_8,member_to_leader,97,97,1
1869,2,RX,9,5,14,9,2,5,3,400,,,,,,000064,11_8,member_to_leader,94,94,1
1870,2,RX,16,5,5,16,3,10,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
1878,2,TX,3,5,3,1,18,8,3,400,14,0,0,,,000064,11_7,leader_to_rsu,110,110,1
1882,2,TX,5,5,5,16,3,13,3,400,13,0,0,,,000064,11_5,member_to_leader,95,95,1
1886,2,TX,14,5,14,9,2,7,3,400,14,0,0,,,000064,11_8,member_to_leader,94,94,1
1890,2,TX,21,5,21,1,19,4,3,400,14,0,0,,,000064,11_8,leader_to_rsu,111,111,1
1959,2,RX,1,5,3,1,17,5,3,400,,,,,,000064,11_5,leader_to_rsu,109,109,1
1964,2,RX,16,5,5,16,3,11,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
1975,2,TX,3,5,3,1,18,9,3,400,15,0,0,,,000064,11_7,leader_to_rsu,110,110,1
1979,2,TX,5,5,5,16,3,14,3,400,14,0,0,,,000064,11_5,member_to_leader,95,95,1
1983,2,TX,14,5,14,17,1,7,3,400,15,0,0,,,000064,12_9,member_to_leader,93,93,1
1987,2,TX,21,5,21,12,4,5,3,400,15,0,0,,,000064,15_2,member_to_leader,96,96,1
2056,2,RX,1,5,3,1,18,6,3,400,,,,,,000064,11_7,leader_to_rsu,110,110,1
2057,2,RX,12,5,21,12,4,4,3,400,,,,,,000064,15_2,member_to_leader,96,96,1
2058,2,RX,16,5,5,16,3,12,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
2068,2,TX,3,5,3,1,18,10,3,400,0,0,0,,,000064,11_7,leader_to_rsu,110,110,1
2072,2,TX,5,5,5,16,3,15,3,400,15,0,0,,,000064,11_5,member_to_leader,95,95,1
2076,2,TX,14,5,14,9,2,8,3,400,0,0,0,,,000064,11_8,member_to_leader,94,94,1
2080,2,TX,21,5,21,3,5,5,3,400,0,0,0,,,000064,16_8,member_to_leader,97,97,1
2149,2,RX,1,5,3,1,18,7,3,400,,,,,,000064,11_7,leader_to_rsu,110,110,1
2150,2,RX,16,5,5,16,3,13,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
2151,2,RX,17,5,14,17,1,6,3,400,,,,,,000064,12_9,member_to_leader,93,93,1
2161,2,TX,3,5,3,1,23,11,3,400,1,0,0,,,000064,12_5,leader_to_rsu,115,115,1
2165,2,TX,5,5,5,16,3,16,3,400,0,0,0,,,000064,11_5,member_to_leader,95,95,1
2169,2,TX,14,5,14,17,1,8,3,400,1,0,0,,,000064,12_9,member_to_leader,93,93,1
2173,2,TX,21,5,21,1,19,5,3,83,1,0,0,,,000064,11_8,leader_to_rsu,111,111,1
2242,2,RX,1,5,3,1,18,8,3,400,,,,,,000064,11_7,leader_to_rsu,110,110,1
2243,2,RX,16,5,5,16,3,14,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
2255,2,TX,3,5,3,1,23,12,3,400,2,0,0,,,000064,12_5,leader_to_rsu,115,115,1
2259,2,TX,5,5,5,16,3,17,3,400,1,0,0,,,000064,11_5,member_to_leader,95,95,1
2263,2,TX,14,5,14,9,2,9,3,400,2,0,0,,,000064,11_8,member_to_leader,94,94,1
2264,2,TX,21,5,21,12,4,6,3,400,2,0,0,,,000064,15_2,member_to_leader,96,96,1
2333,2,RX,1,5,3,1,18,9,3,400,,,,,,000064,11_7,leader_to_rsu,110,110,1
2334,2,RX,12,5,21,12,4,5,3,400,,,,,,000064,15_2,member_to_leader,96,96,1
2335,2,RX,16,5,5,16,3,15,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
2336,2,RX,17,5,14,17,1,7,3,400,,,,,,000064,12_9,member_to_leader,93,93,1
2344,2,TX,3,5,3,1,23,13,3,400,3,0,0,,,000064,12_5,leader_to_rsu,115,115,1
2348,2,TX,5,5,5,16,3,18,3,400,2,0,0,,,000064,11_5,member_to_leader,95,95,1
2352,2,TX,14,5,14,17,1,9,3,400,3,0,0,,,000064,12_9,member_to_leader,93,93,1
2356,2,TX,21,5,21,3,5,6,3,400,3,0,0,,,000064,16_8,member_to_leader,97,97,1
2425,2,RX,1,5,3,1,18,10,3,400,,,,,,000064,11_7,leader_to_rsu,110,110,1
2430,2,RX,16,5,5,16,3,16,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
2441,2,TX,3,5,3,1,23,14,3,400,4,0,0,,,000064,12_5,leader_to_rsu,115,115,1
2445,2,TX,5,5,5,16,3,19,3,400,3,0,0,,,000064,11_5,member_to_leader,95,95,1
2449,2,TX,14,5,14,9,2,10,3,400,4,0,0,,,000064,11_8,member_to_leader,94,94,1
2453,2,TX,21,5,21,12,4,7,3,400,4,0,0,,,000064,15_2,member_to_leader,96,96,1
2522,2,RX,1,5,3,1,23,11,3,400,,,,,,000064,12_5,leader_to_rsu,115,115,1
2523,2,RX,16,5,5,16,3,17,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
2524,2,RX,17,5,14,17,1,8,3,400,,,,,,000064,12_9,member_to_leader,93,93,1
2538,2,TX,3,5,3,1,23,15,3,400,5,0,0,,,000064,12_5,leader_to_rsu,115,115,1
2542,2,TX,5,5,5,16,3,20,3,400,4,0,0,,,000064,11_5,member_to_leader,95,95,1
2546,2,TX,14,5,14,17,1,10,3,400,5,0,0,,,000064,12_9,member_to_leader,93,93,1
2550,2,TX,21,5,21,3,5,7,3,355,5,0,0,,,000064,16_8,member_to_leader,97,97,1
2670,0,RX,1,5,3,1,23,12,3,400,,,,,,000060,12_4,leader_to_rsu,23,23,1
2671,0,RX,9,5,14,9,2,9,3,400,,,,,,000060,12_10,member_to_leader,2,2,1
2672,0,RX,12,5,21,12,4,6,3,400,,,,,,000060,11_8,member_to_leader,4,4,1
2673,0,RX,16,5,5,16,3,18,3,400,,,,,,000060,16_8,member_to_leader,3,3,1
2683,0,TX,3,5,3,1,24,16,3,400,6,0,0,,,000060,12_5,leader_to_rsu,24,24,1
2687,0,TX,5,5,5,16,3,21,3,400,5,0,0,,,000060,16_8,member_to_leader,3,3,1
2694,0,TX,14,5,14,9,2,11,3,400,6,0,0,,,000060,12_10,member_to_leader,2,2,1
2695,0,TX,21,5,21,12,4,8,3,400,6,0,0,,,000060,11_8,member_to_leader,4,4,1
2699,0,TX,20,5,20,1,36,0,1,400,8,0,0,,,000060,15_3,leader_to_rsu,36,36,1
2703,0,TX,19,5,19,1,31,0,1,400,7,0,0,,,000060,14_10,leader_to_rsu,31,31,1
2709,0,TX,4,5,4,1,22,6,3,400,6,0,0,,,000060,12_3,leader_to_rsu,22,22,1
2713,0,TX,2,5,2,1,30,0,1,400,0,0,0,,,000060,14_1,leader_to_rsu,30,30,1
2782,0,RX,1,5,3,1,23,13,3,400,,,,,,000060,12_4,leader_to_rsu,23,23,1
2783,0,RX,16,5,5,16,3,19,3,400,,,,,,000060,16_8,member_to_leader,3,3,1
