timestamp,agent_count,area_count,group_count,delta_g,total_group_load,greedy_max_load,optimal_max_load,absolute_gap,relative_gap,greedy_loads,optimal_loads,greedy_assignments,optimal_assignments
000070,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000070,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000070,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000070,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000072,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;13_5:-1;13_7:-1,11_0:-1;13_5:-1;13_7:-1
000072,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;13_5:-1;13_7:-1,11_0:-1;13_5:-1;13_7:-1
000072,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;13_5:-1;13_7:-1,11_0:-1;13_5:-1;13_7:-1
000072,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;10:0;12:0;13:0;4:0,-1:3;10:0;12:0;13:0;4:0,11_0:-1;13_5:-1;13_7:-1,11_0:-1;13_5:-1;13_7:-1
000074,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000074,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000074,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000074,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000076,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000076,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000076,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000076,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000078,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000078,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000078,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000078,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000080,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000080,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000080,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
000080,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;12:0;13:1;4:0,-1:2;10:0;12:0;13:1;4:0,11_0:-1;13_7:-1;9_3:13,11_0:-1;13_7:-1;9_3:13
