scenario_id,timestamp,method,budget,selected_agents,non_ego_agents,non_ego_count,raw_points,raw_bytes
2026_07_15_02_33_21,000072,comm_aware_topk,5,1;4;12;11;10,4;12;11;10,4,20617,329872
2026_07_15_02_33_21,000072,area_aware_union,5,1;12;10;20;13,12;10;20;13,4,20651,330416
2026_07_15_02_33_21,000072,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97522,1560352
2026_07_15_02_33_21,000072,random,10,1;9;15;14;16;4;20;11;19;18,9;15;14;16;4;20;11;19;18,9,46365,741840
2026_07_15_02_33_21,000072,confidence_topk,10,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,46444,743104
2026_07_15_02_33_21,000072,comm_aware_topk,10,1;4;12;11;10;13;20;7;9;2,4;12;11;10;13;20;7;9;2,9,46275,740400
2026_07_15_02_33_21,000072,area_aware_union,10,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,46476,743616
2026_07_15_02_33_21,000074,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97541,1560656
2026_07_15_02_33_21,000074,random,5,1;13;16;12;15,13;16;12;15,4,20541,328656
2026_07_15_02_33_21,000074,confidence_topk,5,1;12;4;13;10,12;4;13;10,4,20646,330336
2026_07_15_02_33_21,000074,comm_aware_topk,5,1;4;12;10;11,4;12;10;11,4,20638,330208
2026_07_15_02_33_21,000074,area_aware_union,5,1;12;10;20;14,12;10;20;14,4,20769,332304
2026_07_15_02_33_21,000074,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97541,1560656
2026_07_15_02_33_21,000074,random,10,1;6;9;13;4;10;2;17;8;7,6;9;13;4;10;2;17;8;7,9,45943,735088
2026_07_15_02_33_21,000074,confidence_topk,10,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,46485,743760
2026_07_15_02_33_21,000074,comm_aware_topk,10,1;4;12;10;11;13;20;7;9;2,4;12;10;11;13;20;7;9;2,9,46303,740848
2026_07_15_02_33_21,000074,area_aware_union,10,1;12;10;20;14;13;11;7;4;8,12;10;20;14;13;11;7;4;8,9,46508,744128
2026_07_15_02_33_21,000076,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97556,1560896
2026_07_15_02_33_21,000076,random,5,1;6;2;8;13,6;2;8;13,4,20183,322928
2026_07_15_02_33_21,000076,confidence_topk,5,1;12;4;13;10,12;4;13;10,4,20633,330128
2026_07_15_02_33_21,000076,comm_aware_topk,5,1;4;12;10;11,4;12;10;11,4,20639,330224
2026_07_15_02_33_21,000076,area_aware_union,5,1;12;10;20;14,12;10;20;14,4,20775,332400
2026_07_15_02_33_21,000076,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97556,1560896
2026_07_15_02_33_21,000076,random,10,1;2;6;17;20;9;11;18;3;4,2;6;17;20;9;11;18;3;4,9,46132,738112
2026_07_15_02_33_21,000076,confidence_topk,10,1;12;4;13;10;20;9;7;16;11,12;4;13;10;20;9;7;16;11,9,46467,743472
2026_07_15_02_33_21,000076,comm_aware_topk,10,1;4;12;10;11;13;20;2;9;7,4;12;10;11;13;20;2;9;7,9,46287,740592
2026_07_15_02_33_21,000076,area_aware_union,10,1;12;10;20;14;13;7;11;4;8,12;10;20;14;13;7;11;4;8,9,46481,743696
2026_07_15_02_33_21,000078,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97507,1560112
2026_07_15_02_33_21,000078,random,5,1;9;18;19;14,9;18;19;14,4,20720,331520
2026_07_15_02_33_21,000078,confidence_topk,5,1;4;13;12;10,4;13;12;10,4,20617,329872
2026_07_15_02_33_21,000078,comm_aware_topk,5,1;4;12;10;11,4;12;10;11,4,20618,329888
2026_07_15_02_33_21,000078,area_aware_union,5,1;10;12;20;14,10;12;20;14,4,20749,331984
2026_07_15_02_33_21,000078,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97507,1560112
2026_07_15_02_33_21,000078,random,10,1;9;5;15;14;16;19;20;2;7,9;5;15;14;16;19;20;2;7,9,46141,738256
2026_07_15_02_33_21,000078,confidence_topk,10,1;4;13;12;10;20;9;7;11;16,4;13;12;10;20;9;7;11;16,9,46449,743184
2026_07_15_02_33_21,000078,comm_aware_topk,10,1;4;12;10;11;13;20;9;2;7,4;12;10;11;13;20;9;2;7,9,46264,740224
2026_07_15_02_33_21,000078,area_aware_union,10,1;10;12;20;14;13;7;11;4;8,10;12;20;14;13;7;11;4;8,9,46461,743376
2026_07_15_02_33_21,000080,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97522,1560352
2026_07_15_02_33_21,000080,random,5,1;13;11;16;9,13;11;16;9,4,20640,330240
2026_07_15_02_33_21,000080,confidence_topk,5,1;4;13;12;10,4;13;12;10,4,20627,330032
2026_07_15_02_33_21,000080,comm_aware_topk,5,1;4;12;10;11,4;12;10;11,4,20620,329920
2026_07_15_02_33_21,000080,area_aware_union,5,1;10;12;20;14,10;12;20;14,4,20764,332224
2026_07_15_02_33_21,000080,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97522,1560352
2026_07_15_02_33_21,000080,random,10,1;2;10;3;11;17;13;15;8;20,2;10;3;11;17;13;15;8;20,9,46023,736368
2026_07_15_02_33_21,000080,confidence_topk,10,1;4;13;12;10;20;9;7;11;16,4;13;12;10;20;9;7;11;16,9,46481,743696
2026_07_15_02_33_21,000080,comm_aware_topk,10,1;4;12;10;11;13;20;2;9;7,4;12;10;11;13;20;2;9;7,9,46288,740608
2026_07_15_02_33_21,000080,area_aware_union,10,1;10;12;20;14;13;7;11;4;16,10;12;20;14;13;7;11;4;16,9,46623,745968
