scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000068,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 54}","{""1"": 4924, ""2"": 4386, ""11"": 4604}",143840,40.969966629588434,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,28,42,
2026_07_15_01_26_56,000068,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 50, ""12"": 53}","{""4"": 4848, ""9"": 4856, ""12"": 2293}",114384,43.212458286985544,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:9,,21,43,
2026_07_15_01_26_56,000068,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 54, ""14"": 58}","{""10"": 4850, ""13"": 4795, ""14"": 5028}",158048,44.743047830923246,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:3;14>13:2,,12,31,
2026_07_15_01_26_56,000068,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4743}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,15,8,
2026_07_15_01_26_56,000068,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 53, ""20"": 47}","{""7"": 4672, ""16"": 4887, ""20"": 3148}",125120,41.57508342602892,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,21,29,
2026_07_15_01_26_56,000068,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 59, ""18"": 55}","{""3"": 3233, ""17"": 4976, ""18"": 4990}",131568,44.404894327030036,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,6,16,
2026_07_15_01_26_56,000070,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;4;12,1;12;4,12;4,"{""4"": 56, ""12"": 56}","{""1"": 4925, ""4"": 4827, ""12"": 4883}",155360,43.452725250278085,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>1:9;12>1:8,,22,37,
2026_07_15_01_26_56,000070,11,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,2;8;9;11,11;2;8,2;8,"{""2"": 53, ""8"": 55}","{""2"": 2840, ""8"": 4751, ""11"": 4909}",121456,42.27808676307008,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>11:2;8>11:3,,29,45,
2026_07_15_01_26_56,000070,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 52, ""14"": 56}","{""10"": 4848, ""13"": 4795, ""14"": 5031}",158064,44.76974416017798,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:1;14>13:0,,12,31,
2026_07_15_01_26_56,000070,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4740}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,14,8,
2026_07_15_01_26_56,000070,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 54, ""20"": 47}","{""7"": 4690, ""16"": 4856, ""20"": 3158}",125568,41.73526140155728,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,21,29,
2026_07_15_01_26_56,000070,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 57, ""18"": 53}","{""3"": 3200, ""17"": 4972, ""18"": 5023}",131568,44.698553948832036,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,7,16,
2026_07_15_01_26_56,000072,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 53}","{""1"": 4928, ""2"": 4360, ""11"": 4601}",143376,40.94327030033371,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,30,41,
2026_07_15_01_26_56,000072,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 50, ""12"": 54}","{""4"": 4868, ""9"": 4855, ""12"": 2450}",116880,43.2035595105673,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:9,,22,42,
2026_07_15_01_26_56,000072,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 53, ""14"": 61}","{""10"": 4846, ""13"": 4800, ""14"": 5044}",158240,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:3;14>13:2,,12,30,
2026_07_15_01_26_56,000072,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4748}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,12,9,
2026_07_15_01_26_56,000072,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 56, ""20"": 47}","{""7"": 4689, ""16"": 4868, ""20"": 3155}",125504,41.72636262513904,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,19,28,
2026_07_15_01_26_56,000072,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 59, ""18"": 53}","{""3"": 3176, ""17"": 4977, ""18"": 4982}",130528,44.33370411568409,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,9,16,
2026_07_15_01_26_56,000074,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 50, ""11"": 53}","{""1"": 4931, ""2"": 4364, ""11"": 4598}",143392,40.91657397107898,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,27,39,
2026_07_15_01_26_56,000074,12,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;7;12,12;7;4,7;4,"{""4"": 56, ""7"": 59}","{""4"": 3284, ""7"": 4880, ""12"": 4881}",130624,43.42602892102336,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:9;7>12:8,,21,43,
2026_07_15_01_26_56,000074,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 54, ""14"": 61}","{""10"": 4852, ""13"": 4800, ""14"": 5017}",157904,44.645161290322584,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>13:3;14>13:2,,11,30,
2026_07_15_01_26_56,000074,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4753}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,13,9,
