scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000072,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;12;9,12;9,"{""9"": 50, ""12"": 54}","{""4"": 4868, ""9"": 4855, ""12"": 2450}",116880,,12;9,22,42,
2026_07_15_01_26_56,000072,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;14;19,10;14;19,"{""10"": 39, ""14"": 39, ""19"": 39}","{""10"": 4382, ""13"": 4800, ""14"": 3988, ""19"": 1094}",151424,,10;14;19,10,32,
2026_07_15_01_26_56,000072,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 55}","{""6"": 4495, ""15"": 4748}",71920,,6,15,18,
2026_07_15_01_26_56,000072,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;20;7;5,20;7;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4380, ""7"": 2884, ""16"": 4868, ""20"": 2799}",161008,,20;7;5,20,29,
2026_07_15_01_26_56,000072,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 59, ""18"": 53}","{""3"": 3176, ""17"": 4977, ""18"": 4982}",130528,,18;3,9,16,
2026_07_15_01_26_56,000074,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4931, ""2"": 4017, ""8"": 722, ""11"": 2444}",114928,,8;11;2,27,46,
2026_07_15_01_26_56,000074,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;7;12,12;4;7,4;7,"{""4"": 56, ""7"": 59}","{""4"": 3284, ""7"": 4880, ""12"": 4881}",130624,,4;7,21,43,
2026_07_15_01_26_56,000074,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19;14,10;19;14,"{""10"": 39, ""14"": 39, ""19"": 39}","{""10"": 3722, ""13"": 4800, ""14"": 4058, ""19"": 1329}",145744,,10;19;14,9,32,
2026_07_15_01_26_56,000074,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 54}","{""6"": 4491, ""15"": 4753}",71856,,6,15,18,
2026_07_15_01_26_56,000074,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 58, ""18"": 54}","{""3"": 3687, ""17"": 4954, ""18"": 4962}",138384,,18;3,8,16,
