frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state
1,000062,76,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,77,7,20,,member_to_leader,2320,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,78,20,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,79,4,12,,member_to_leader,3120,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
1,000062,80,12,21,,leader_to_rsu,2000,1,1,0,0,0,0,1,0,0,0,0,1,application_received
1,000062,81,8,1,,member_to_leader,2992,1,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only
1,000062,82,1,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,83,9,19,,member_to_leader,6320,3,1,0,0,0,0,1,2,0,0,0,0,rlc_rx_only
1,000062,84,19,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,85,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,86,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,87,11,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
1,000062,88,12,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,89,12,4,,member_to_leader,2736,2,2,0,0,0,0,2,0,0,0,0,0,rlc_rx_only
1,000062,90,4,21,,leader_to_rsu,2000,1,1,0,0,0,0,1,0,0,0,0,1,application_received
1,000062,91,7,4,,member_to_leader,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
1,000062,92,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,93,20,5,,member_to_leader,13184,5,3,0,0,0,0,3,1,0,0,0,0,rlc_rx_only
2,000064,94,5,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,95,2,11,,member_to_leader,2048,1,1,0,0,0,0,1,0,0,0,0,1,application_received
2,000064,96,11,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,97,2,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,98,1,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,99,10,9,,member_to_leader,2384,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,100,9,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,101,11,21,,leader_to_rsu,2000,1,1,0,0,0,0,1,0,0,0,0,1,application_received
2,000064,102,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,103,20,7,,member_to_leader,800,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,104,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,105,8,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,106,8,1,,member_to_leader,1616,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,107,1,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,108,4,12,,member_to_leader,912,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,109,12,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,110,12,4,,member_to_leader,512,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,111,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,112,1,8,,member_to_leader,1520,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,113,8,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,114,12,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,115,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,116,7,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,117,16,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,118,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,119,4,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,120,9,10,,member_to_leader,3072,1,0,0,0,0,0,0,1,0,0,0,0,pssch_fail
2,000064,121,10,21,,leader_to_rsu,2000,1,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
