scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000068,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4924, ""2"": 4347, ""11"": 4643}",143840,41.317018909899886,10,40.0,100.0,200.0,2500000,732928,732928,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:8,,27,42,
2026_07_15_01_26_56,000068,3,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;15;17;18,3;17;18,17;18,"{""17"": 37, ""18"": 34}","{""3"": 4987, ""17"": 3658, ""18"": 4698}",133696,41.806451612903224,10,40.0,100.0,200.0,2500000,732928,732928,1,ns3,899,0.5,10,12,28,,,[],[],17>3:1;18>3:9,,10,16,
2026_07_15_01_26_56,000068,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;6;12;14,4;14;12,14;12,"{""12"": 37, ""14"": 37}","{""4"": 4848, ""12"": 4803, ""14"": 4946}",155984,44.01334816462736,10,40.0,100.0,200.0,2500000,732928,732928,1,ns3,899,0.5,10,12,28,,,[],[],12>4:6;14>4:2,,14,35,
2026_07_15_01_26_56,000068,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4912, ""9"": 4435, ""16"": 4813}",147968,42.82981090100111,10,40.0,100.0,200.0,2500000,732928,732928,1,ns3,899,0.5,10,12,28,,,[],[],9>5:3;16>5:5,,18,31,
2026_07_15_01_26_56,000068,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,7;10;13;19,10;7;13,7;13,"{""7"": 37, ""13"": 37}","{""7"": 4791, ""10"": 4934, ""13"": 4674}",151440,42.63403781979978,10,40.0,100.0,200.0,2500000,732928,732928,1,ns3,899,0.5,10,12,28,,,[],[],7>10:4;13>10:7,,22,42,
2026_07_15_01_26_56,000070,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4925, ""2"": 4341, ""11"": 4460}",140816,39.688542825361516,10,40.0,100.0,200.0,2500000,729600,729600,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:8,,28,42,
2026_07_15_01_26_56,000070,3,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;15;17;18,3;17;18,17;18,"{""17"": 37, ""18"": 33}","{""3"": 4953, ""17"": 3668, ""18"": 4711}",134064,41.922135706340384,10,40.0,100.0,200.0,2500000,729600,729600,1,ns3,899,0.5,10,12,28,,,[],[],17>3:1;18>3:9,,9,16,
2026_07_15_01_26_56,000070,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;6;12;14,4;14;12,14;12,"{""12"": 37, ""14"": 37}","{""4"": 4851, ""12"": 4806, ""14"": 4936}",155872,43.92436040044494,10,40.0,100.0,200.0,2500000,729600,729600,1,ns3,899,0.5,10,12,28,,,[],[],12>4:6;14>4:2,,9,35,
2026_07_15_01_26_56,000070,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4907, ""9"": 4435, ""16"": 4785}",147520,42.58064516129032,10,40.0,100.0,200.0,2500000,729600,729600,1,ns3,899,0.5,10,12,28,,,[],[],9>5:3;16>5:5,,20,31,
2026_07_15_01_26_56,000070,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,7;10;13;19,10;7;13,7;13,"{""7"": 37, ""13"": 37}","{""7"": 4794, ""10"": 4949, ""13"": 4664}",151328,42.660734149054505,10,40.0,100.0,200.0,2500000,729600,729600,1,ns3,899,0.5,10,12,28,,,[],[],7>10:4;13>10:7,,23,41,
2026_07_15_01_26_56,000072,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4928, ""2"": 4327, ""11"": 4782}",145744,42.553948832035594,10,40.0,100.0,200.0,2500000,726144,726144,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:8,,27,41,
2026_07_15_01_26_56,000072,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;6;12;14,4;14;12,14;12,"{""12"": 37, ""14"": 37}","{""4"": 4868, ""12"": 4800, ""14"": 4949}",155984,44.040044493882085,10,40.0,100.0,200.0,2500000,726144,726144,1,ns3,899,0.5,10,12,28,,,[],[],12>4:6;14>4:1,,14,34,
2026_07_15_01_26_56,000072,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4908, ""9"": 4436, ""16"": 4783}",147504,42.562847608453836,10,40.0,100.0,200.0,2500000,726144,726144,1,ns3,899,0.5,10,12,28,,,[],[],9>5:2;16>5:5,,17,30,
