line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1335,2,TX,19,5,19,1,26,3,3,400,8,0,0,,,000064,11_5,leader_to_rsu,118,118,1
1339,2,TX,20,5,20,2,4,7,3,275,7,0,0,,,000064,16_8,member_to_leader,96,96,1
1343,2,TX,21,5,21,1,18,3,3,400,8,0,0,,,000064,11_8,leader_to_rsu,110,110,1
1452,2,RX,1,5,13,1,23,2,3,400,,,,,,000064,13_0,leader_to_rsu,115,115,1
1453,2,RX,1,5,9,1,20,2,3,400,,,,,,000064,12_3,leader_to_rsu,112,112,1
1454,2,RX,1,5,3,1,17,2,3,400,,,,,,000064,11_7,leader_to_rsu,109,109,1
1455,2,RX,1,5,2,1,25,2,3,400,,,,,,000064,14_10,leader_to_rsu,117,117,1
1468,2,TX,2,5,2,1,25,4,3,400,9,0,0,,,000064,14_10,leader_to_rsu,117,117,1
1472,2,TX,3,5,3,1,17,4,3,400,9,0,0,,,000064,11_7,leader_to_rsu,109,109,1
1476,2,TX,5,5,5,16,2,8,3,400,8,0,0,,,000064,11_8,member_to_leader,94,94,1
1477,2,TX,13,5,13,1,23,4,3,400,9,0,0,,,000064,13_0,leader_to_rsu,115,115,1
1481,2,TX,14,5,14,17,1,5,3,400,9,0,0,,,000064,12_9,member_to_leader,93,93,1
1485,2,TX,19,5,19,14,5,5,3,400,9,0,0,,,000064,16_5,member_to_leader,97,97,1
1489,2,TX,21,5,21,12,3,5,3,400,9,0,0,,,000064,15_2,member_to_leader,95,95,1
1598,2,RX,1,5,17,1,22,5,3,83,,,,,,000064,12_9,leader_to_rsu,114,114,1
1599,2,RX,1,5,4,1,21,5,3,83,,,,,,000064,12_7,leader_to_rsu,113,113,1
1600,2,RX,1,5,21,1,18,2,3,400,,,,,,000064,11_8,leader_to_rsu,110,110,1
1601,2,RX,1,5,19,1,26,2,3,400,,,,,,000064,11_5,leader_to_rsu,118,118,1
1602,2,RX,1,5,9,1,20,3,3,400,,,,,,000064,12_3,leader_to_rsu,112,112,1
