frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,planned_bytes,tx_events,rx_events,drop_events,tx_bytes,rx_bytes,drop_bytes,matched,has_rlc_tx,has_rlc_rx,has_rlc_drop,rlc_complete,rlc_partial,rlc_no_rx
1,000062,68,5,21,12_9,leader_to_rsu,68,2000,7,6,0,2095,2083,0,1,1,1,0,0,1,0
1,000062,69,2,21,13_0,leader_to_rsu,69,2000,7,6,0,2095,2083,0,1,1,1,0,0,1,0
1,000062,70,20,21,13_9,leader_to_rsu,70,2000,7,7,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,71,1,21,14_1,leader_to_rsu,71,2000,7,7,0,2483,2483,0,1,1,1,0,1,0,0
1,000062,72,7,21,14_10,leader_to_rsu,72,2000,7,7,0,2483,2483,0,1,1,1,0,1,0,0
1,000062,73,10,21,11_5,leader_to_rsu,73,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,74,11,21,13_2,leader_to_rsu,74,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,75,7,21,14_11,leader_to_rsu,75,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,76,8,21,14_3,leader_to_rsu,76,2000,7,6,0,2483,2083,0,1,1,1,0,0,1,0
1,000062,77,1,21,15_2,leader_to_rsu,77,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,78,4,21,15_6,leader_to_rsu,78,2000,7,6,0,2483,2083,0,1,1,1,0,0,1,0
1,000062,79,12,21,16_7,leader_to_rsu,79,2000,7,6,0,2483,2083,0,1,1,1,0,0,1,0
1,000062,80,10,21,12_4,leader_to_rsu,80,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,81,11,21,13_3,leader_to_rsu,81,2000,6,5,0,1707,1695,0,1,1,1,0,0,1,0
1,000062,82,7,21,14_9,leader_to_rsu,82,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,83,1,21,15_3,leader_to_rsu,83,2000,6,5,0,1707,1695,0,1,1,1,0,0,1,0
1,000062,84,8,21,15_4,leader_to_rsu,84,2000,6,6,0,1707,1707,0,1,1,1,0,1,0,0
1,000062,85,4,21,15_8,leader_to_rsu,85,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,86,12,21,16_8,leader_to_rsu,86,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,87,10,21,12_5,leader_to_rsu,87,2000,6,5,0,1707,1695,0,1,1,1,0,0,1,0
1,000062,88,7,21,15_9,leader_to_rsu,88,2000,6,5,0,1707,1695,0,1,1,1,0,0,1,0
1,000062,89,4,21,16_5,leader_to_rsu,89,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,90,12,21,17_7,leader_to_rsu,90,2000,6,6,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,91,4,21,17_5,leader_to_rsu,91,2000,6,6,0,1707,1707,0,1,1,1,0,1,0,0
1,000062,92,12,21,18_7,leader_to_rsu,92,2000,6,6,0,1707,1707,0,1,1,1,0,1,0,0
2,000064,1,14,17,12_9,member_to_leader,93,,15,6,0,6000,2400,0,1,1,1,0,0,1,0
2,000064,2,5,16,11_8,member_to_leader,94,,20,12,0,8000,4800,0,1,1,1,0,0,1,0
2,000064,3,21,12,15_2,member_to_leader,95,,15,7,0,6000,2800,0,1,1,1,0,0,1,0
2,000064,4,20,2,16_8,member_to_leader,96,,7,0,0,2675,0,0,1,1,0,0,0,0,1
2,000064,5,19,14,16_5,member_to_leader,97,,6,0,0,2019,0,0,1,1,0,0,0,0,1
2,000064,6,16,5,11_7,member_to_leader,98,,5,0,0,1955,0,0,1,1,0,0,0,0,1
2,000064,7,3,21,15_8,member_to_leader,99,,5,0,0,1811,0,0,1,1,0,0,0,0,1
2,000064,8,13,4,13_2,member_to_leader,100,,4,2,0,1587,787,0,1,1,1,0,0,1,0
2,000064,9,2,20,15_3,member_to_leader,101,,4,1,0,1203,3,0,1,1,1,0,0,1,0
2,000064,10,9,19,11_5,member_to_leader,102,,2,0,0,467,0,0,1,1,0,0,0,0,1
2,000064,17,3,1,11_7,leader_to_rsu,109,,6,6,0,2083,2083,0,1,1,1,0,1,0,0
2,000064,18,21,1,11_8,leader_to_rsu,110,,6,3,0,2083,1200,0,1,1,1,0,0,1,0
2,000064,19,12,1,12_11,leader_to_rsu,111,,6,0,0,2083,0,0,1,1,0,0,0,0,1
2,000064,20,9,1,12_3,leader_to_rsu,112,,6,6,0,2083,2083,0,1,1,1,0,1,0,0
2,000064,21,4,1,12_7,leader_to_rsu,113,,6,1,0,2083,83,0,1,1,1,0,0,1,0
2,000064,22,17,1,12_9,leader_to_rsu,114,,6,1,0,2083,83,0,1,1,1,0,0,1,0
2,000064,23,13,1,13_0,leader_to_rsu,115,,6,5,0,2083,2000,0,1,1,1,0,0,1,0
2,000064,24,14,1,14_1,leader_to_rsu,116,,6,3,0,2083,883,0,1,1,1,0,0,1,0
2,000064,25,2,1,14_10,leader_to_rsu,117,,6,6,0,2083,2083,0,1,1,1,0,1,0,0
2,000064,26,19,1,11_5,leader_to_rsu,118,,6,5,0,2083,1683,0,1,1,1,0,0,1,0
2,000064,93,20,5,12_9,member_to_leader,93,13184,35,35,0,13335,13335,0,1,1,1,0,1,0,0
2,000064,94,9,19,11_8,member_to_leader,94,6320,18,18,0,6437,6437,0,1,1,1,0,1,0,0
2,000064,95,8,1,15_2,member_to_leader,95,2992,9,4,0,3475,1475,0,1,1,1,0,0,1,0
2,000064,96,4,12,16_8,member_to_leader,96,2928,9,0,0,3411,0,0,1,1,0,0,0,0,1
2,000064,97,12,4,16_5,member_to_leader,97,2768,9,0,0,3251,0,0,1,1,0,0,0,0,1
2,000064,98,10,9,11_7,member_to_leader,98,2384,8,0,0,2481,0,0,1,1,0,0,0,0,1
2,000064,99,7,4,15_8,member_to_leader,99,2192,7,1,0,2287,12,0,1,1,1,0,0,1,0
2,000064,100,2,11,13_2,member_to_leader,100,2048,7,7,0,2143,2143,0,1,1,1,0,1,0,0
2,000064,101,1,8,15_3,member_to_leader,101,1520,6,0,0,1613,0,0,1,1,0,0,0,0,1
2,000064,102,9,10,11_5,member_to_leader,102,3072,9,3,0,3171,771,0,1,1,1,0,0,1,0
2,000064,103,10,20,12_7,member_to_leader,103,1808,6,0,0,1901,0,0,1,1,0,0,0,0,1
2,000064,104,8,1,14_3,member_to_leader,104,1616,5,3,0,1325,1200,0,1,1,1,0,0,1,0
2,000064,105,4,12,17_5,member_to_leader,105,912,3,1,0,617,211,0,1,1,1,0,0,1,0
2,000064,106,20,7,14_11,member_to_leader,106,800,4,2,0,889,800,0,1,1,1,0,0,1,0
2,000064,107,12,4,18_7,member_to_leader,107,512,2,1,0,215,4,0,1,1,1,0,0,1,0
