line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
2599,1,PHY,PSSCH_DECODE_FAIL,91,21,3,1945,,,,6,14.6673,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=91 txRnti=21 sender_l2_id=21 receiver_l2_id=3 harq_id=6 tb_size=1945 tbler=1 sinr=14.6673 sinrMin=13.4667 reason=decode_fail,000062,11_5,member_to_leader,91,91,1
2601,1,PHY,PSSCH_DECODE_FAIL,63,14,17,4069,,,,8,1460.03,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=63 txRnti=14 sender_l2_id=14 receiver_l2_id=17 harq_id=8 tb_size=4069 tbler=1 sinr=1460.03 sinrMin=0.106986 reason=decode_fail,000062,12_9,member_to_leader,63,63,1
2678,1,PHY,PSSCH_DECODE_FAIL,88,19,1,4069,,,,8,0.686908,0.936151,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=88 txRnti=19 sender_l2_id=19 receiver_l2_id=1 harq_id=8 tb_size=4069 tbler=0.936151 sinr=0.686908 sinrMin=0.30142 reason=sci2_decode_fail,000062,14_10,leader_to_rsu,88,88,1
2680,1,PHY,PSSCH_DECODE_FAIL,124,20,1,2083,,,,4,0.922068,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=124 txRnti=20 sender_l2_id=20 receiver_l2_id=1 harq_id=4 tb_size=2083 tbler=1 sinr=0.922068 sinrMin=0.270259 reason=decode_fail,000062,14_2,leader_to_rsu,124,124,1
2683,1,PHY,PSSCH_DECODE_FAIL,65,13,4,1945,,,,3,13.3202,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=65 txRnti=13 sender_l2_id=13 receiver_l2_id=4 harq_id=3 tb_size=1945 tbler=1 sinr=13.3202 sinrMin=1.40869 reason=decode_fail,000062,13_2,member_to_leader,65,65,1
2746,1,PHY,PSSCH_DECODE_FAIL,92,3,1,4069,,,,7,1665.39,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=92 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=7 tb_size=4069 tbler=1 sinr=1665.39 sinrMin=0.894564 reason=decode_fail,000062,11_5,leader_to_rsu,92,92,1
2748,1,PHY,PSSCH_DECODE_FAIL,93,19,14,1945,,,,7,1.62361,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=93 txRnti=19 sender_l2_id=19 receiver_l2_id=14 harq_id=7 tb_size=1945 tbler=1 sinr=1.62361 sinrMin=1.27727 reason=decode_fail,000062,13_9,member_to_leader,93,93,1
2842,1,PHY,PSSCH_DECODE_FAIL,99,21,12,1945,,,,7,6.62664,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=99 txRnti=21 sender_l2_id=21 receiver_l2_id=12 harq_id=7 tb_size=1945 tbler=1 sinr=6.62664 sinrMin=0.0352229 reason=decode_fail,000062,11_8,member_to_leader,99,99,1
2844,1,PHY,PSSCH_DECODE_FAIL,105,5,16,4069,,,,8,24.0637,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=105 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=8 tb_size=4069 tbler=1 sinr=24.0637 sinrMin=3.95197 reason=decode_fail,000062,16_5,member_to_leader,105,105,1
2948,1,PHY,PSSCH_DECODE_FAIL,102,19,1,2083,,,,9,0.101711,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=102 txRnti=19 sender_l2_id=19 receiver_l2_id=1 harq_id=9 tb_size=2083 tbler=1 sinr=0.101711 sinrMin=0.0855554 reason=sci2_decode_fail,000062,15_9,leader_to_rsu,102,102,1
