scenario_id,timestamp,method,budget,planned_areas,selected_agents,non_ego_agents,non_ego_count,area_agent_rows,slice_points,slice_bytes
2026_07_15_02_33_21,000072,comm_aware_topk,5,30,1;4;12;11;10,4;12;11;10,4,120,8950,143200
2026_07_15_02_33_21,000072,area_aware_union,5,30,1;12;10;20;13,12;10;20;13,4,120,6859,109744
2026_07_15_02_33_21,000072,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25657,410512
2026_07_15_02_33_21,000072,random,10,30,1;9;15;14;16;4;20;11;19;18,9;15;14;16;4;20;11;19;18,9,270,9254,148064
2026_07_15_02_33_21,000072,confidence_topk,10,30,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,270,16246,259936
2026_07_15_02_33_21,000072,comm_aware_topk,10,30,1;4;12;11;10;13;20;7;9;2,4;12;11;10;13;20;7;9;2,9,270,16549,264784
2026_07_15_02_33_21,000072,area_aware_union,10,30,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,270,17437,278992
2026_07_15_02_33_21,000074,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25940,415040
2026_07_15_02_33_21,000074,random,5,30,1;13;16;12;15,13;16;12;15,4,120,3586,57376
2026_07_15_02_33_21,000074,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,7005,112080
2026_07_15_02_33_21,000074,comm_aware_topk,5,30,1;4;12;10;11,4;12;10;11,4,120,8798,140768
2026_07_15_02_33_21,000074,area_aware_union,5,30,1;12;10;20;14,12;10;20;14,4,120,6608,105728
2026_07_15_02_33_21,000074,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,25940,415040
2026_07_15_02_33_21,000074,random,10,30,1;6;9;13;4;10;2;17;8;7,6;9;13;4;10;2;17;8;7,9,270,14710,235360
2026_07_15_02_33_21,000074,confidence_topk,10,30,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,270,16486,263776
2026_07_15_02_33_21,000074,comm_aware_topk,10,30,1;4;12;10;11;13;20;7;9;2,4;12;10;11;13;20;7;9;2,9,270,16831,269296
2026_07_15_02_33_21,000074,area_aware_union,10,30,1;12;10;20;14;13;11;7;4;8,12;10;20;14;13;11;7;4;8,9,270,17705,283280
2026_07_15_02_33_21,000076,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,26664,426624
2026_07_15_02_33_21,000076,random,5,30,1;6;2;8;13,6;2;8;13,4,120,5715,91440
2026_07_15_02_33_21,000076,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,6947,111152
