scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000098,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4000, ""15"": 4783}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,17,19,
2026_07_15_01_26_56,000098,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;16;17;18,17;3;16,3;16,"{""3"": 37, ""16"": 37}","{""3"": 4000, ""16"": 4000, ""17"": 4986}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],3>17:4;16>17:7,,13,24,
2026_07_15_01_26_56,000098,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;9;20,20;9,9,"{""9"": 37}","{""9"": 4000, ""20"": 4903}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],9>20:5,,21,28,
2026_07_15_01_26_56,000100,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4928, ""2"": 4000, ""11"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,24,38,
2026_07_15_01_26_56,000100,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;7;12,12;4;7,4;7,"{""4"": 37, ""7"": 37}","{""4"": 4000, ""7"": 4000, ""12"": 4970}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],4>12:1;7>12:9,,20,38,
2026_07_15_01_26_56,000100,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 37, ""14"": 37}","{""10"": 4000, ""13"": 4758, ""14"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],10>13:8;14>13:2,,13,29,
2026_07_15_01_26_56,000100,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4000, ""15"": 4775}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,19,20,
2026_07_15_01_26_56,000100,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;16;17;18,17;3;16,3;16,"{""3"": 37, ""16"": 37}","{""3"": 4000, ""16"": 4000, ""17"": 4995}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],3>17:4;16>17:7,,14,24,
2026_07_15_01_26_56,000100,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;9;20,20;9,9,"{""9"": 37}","{""9"": 4000, ""20"": 4903}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],9>20:5,,23,25,
2026_07_15_01_26_56,000102,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4929, ""2"": 4000, ""11"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,23,38,
2026_07_15_01_26_56,000102,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;7;12,12;4;7,4;7,"{""4"": 37, ""7"": 37}","{""4"": 4000, ""7"": 4000, ""12"": 4965}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],4>12:1;7>12:9,,20,38,
2026_07_15_01_26_56,000102,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 37, ""14"": 37}","{""10"": 4000, ""13"": 4787, ""14"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],10>13:8;14>13:2,,12,29,
2026_07_15_01_26_56,000102,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4000, ""15"": 4798}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,21,22,
2026_07_15_01_26_56,000102,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;16;17;18,17;3;16,3;16,"{""3"": 37, ""16"": 37}","{""3"": 4000, ""16"": 4000, ""17"": 4990}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],3>17:4;16>17:7,,15,23,
2026_07_15_01_26_56,000102,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;9;20,20;9,9,"{""9"": 37}","{""9"": 4000, ""20"": 4902}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],9>20:5,,21,25,
2026_07_15_01_26_56,000104,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4929, ""2"": 4000, ""11"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,22,38,
2026_07_15_01_26_56,000104,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;7;12,12;4;7,4;7,"{""4"": 37, ""7"": 37}","{""4"": 4000, ""7"": 4000, ""12"": 4988}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],4>12:1;7>12:9,,18,38,
2026_07_15_01_26_56,000104,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 37, ""14"": 37}","{""10"": 4000, ""13"": 4747, ""14"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],10>13:8;14>13:2,,12,29,
2026_07_15_01_26_56,000104,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4000, ""15"": 4777}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,18,23,
2026_07_15_01_26_56,000104,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;16;17;18,17;3;16,3;16,"{""3"": 37, ""16"": 37}","{""3"": 4000, ""16"": 4000, ""17"": 4979}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],3>17:4;16>17:7,,15,22,
2026_07_15_01_26_56,000104,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;9;20,20;9,9,"{""9"": 37}","{""9"": 4000, ""20"": 4900}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],9>20:5,,21,25,
2026_07_15_01_26_56,000106,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4928, ""2"": 4000, ""11"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,23,38,
2026_07_15_01_26_56,000106,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;7;12,12;4;7,4;7,"{""4"": 37, ""7"": 37}","{""4"": 4000, ""7"": 4000, ""12"": 4987}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],4>12:1;7>12:9,,19,38,
2026_07_15_01_26_56,000106,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,10;13;14;19,13;14;10,14;10,"{""10"": 37, ""14"": 37}","{""10"": 4000, ""13"": 4753, ""14"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],10>13:7;14>13:2,,13,29,
