line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
2626,2,TX,3,5,3,14,136,0,0,1891,7,0,0,,,000064,,member_to_leader,136,136,1
2627,2,TX,19,5,19,1,115,5,0,2083,8,0,0,,,000064,,leader_to_rsu,115,115,1
2666,2,RX,4,5,13,4,95,1,0,2131,,,,,,000064,,member_to_leader,95,95,1
2676,2,TX,14,5,14,17,93,7,3,4069,15,0,0,,,000064,,member_to_leader,93,93,1
2677,2,TX,20,5,20,1,113,3,0,2083,7,0,0,,,000064,,leader_to_rsu,113,113,1
2678,2,TX,2,5,2,1,107,4,0,2083,6,0,0,,,000064,,leader_to_rsu,107,107,1
2679,2,TX,16,5,16,1,133,6,0,2083,8,0,0,,,000064,,leader_to_rsu,133,133,1
2818,2,TX,3,5,3,1,121,6,0,2083,9,0,0,,,000064,,leader_to_rsu,121,121,1
2819,2,TX,19,5,19,1,116,6,0,2083,9,0,0,,,000064,,leader_to_rsu,116,116,1
2820,2,TX,21,5,21,12,126,4,3,2334,8,0,0,,,000064,,member_to_leader,126,126,1
2821,2,TX,5,5,5,1,114,5,0,2083,9,0,0,,,000064,,leader_to_rsu,114,114,1
2822,2,TX,2,5,2,1,125,5,0,2083,7,0,0,,,000064,,leader_to_rsu,125,125,1
2897,2,TX,4,5,4,1,101,4,0,2083,4,0,0,,,000064,,leader_to_rsu,101,101,1
3197,2,TX,4,5,4,1,130,5,0,2083,5,0,0,,,000064,,leader_to_rsu,130,130,1
3198,2,TX,20,5,20,2,124,4,3,705,8,0,0,,,000064,,member_to_leader,124,124,1
3199,2,RX,1,5,4,1,101,4,0,2083,,,,,,000064,,leader_to_rsu,101,101,1
3205,2,TX,14,5,14,17,93,8,3,1060,1,0,0,,,000064,,member_to_leader,93,93,1
3270,2,TX,3,5,3,1,129,7,0,2083,10,0,0,,,000064,,leader_to_rsu,129,129,1
3271,2,TX,16,5,16,1,135,7,0,2083,9,0,0,,,000064,,leader_to_rsu,135,135,1
3272,2,RX,17,5,14,17,93,8,3,1060,,,,,,000064,,member_to_leader,93,93,1
3273,2,TX,19,5,19,1,128,7,0,2083,10,0,0,,,000064,,leader_to_rsu,128,128,1
3274,2,TX,5,5,5,1,123,6,0,2083,10,0,0,,,000064,,leader_to_rsu,123,123,1
